Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,mutation_rate 30%,461.0,2.0,230.5,10020.0
Random,mutation_rate 30%,318.0,3.0,106.0,9752.0
Random,mutation_rate 30%,324.0,4.0,81.0,9834.0
Random,mutation_rate 30%,356.0,6.0,59.333333333333336,9759.0
Random,mutation_rate 30%,314.0,6.0,52.333333333333336,9584.0
Random,mutation_rate 30%,331.0,8.0,41.375,9484.0
Random,mutation_rate 30%,310.0,8.0,38.75,9705.0
Random,mutation_rate 30%,312.0,8.0,39.0,9590.0
Random,mutation_rate 30%,319.0,8.0,39.875,9518.0
Random,mutation_rate 30%,332.0,8.0,41.5,9787.0
Random,mutation_rate 30%,320.0,8.0,40.0,9425.0
Random,mutation_rate 30%,315.0,8.0,39.375,9450.0
Random,mutation_rate 30%,319.0,8.0,39.875,9466.0
Random,mutation_rate 30%,314.0,8.0,39.25,9544.0
Random,mutation_rate 30%,314.0,8.0,39.25,9671.0
Random,mutation_rate 30%,310.0,8.0,38.75,9515.0
Random,mutation_rate 30%,310.0,8.0,38.75,9734.0
Random,mutation_rate 30%,314.0,8.0,39.25,9394.0
Random,mutation_rate 30%,327.0,8.0,40.875,9273.0
Random,mutation_rate 30%,320.0,8.0,40.0,9871.0
Random,mutation_rate 30%,312.0,8.0,39.0,9816.0
Random,mutation_rate 30%,321.0,8.0,40.125,9714.0
Random,mutation_rate 30%,321.0,8.0,40.125,9643.0
Random,mutation_rate 30%,316.0,8.0,39.5,9388.0
Random,mutation_rate 30%,321.0,8.0,40.125,9290.0
Random,mutation_rate 30%,322.0,8.0,40.25,9940.0
Random,mutation_rate 30%,317.0,8.0,39.625,9563.0
Random,mutation_rate 30%,323.0,8.0,40.375,9499.0
Random,mutation_rate 30%,317.0,8.0,39.625,9662.0
Random,mutation_rate 30%,318.0,8.0,39.75,9537.0
Random,mutation_rate 30%,315.0,8.0,39.375,9412.0
Random,mutation_rate 30%,315.0,8.0,39.375,9657.0
Random,mutation_rate 30%,311.0,8.0,38.875,9193.0
Random,mutation_rate 30%,315.0,8.0,39.375,9440.0
Random,mutation_rate 30%,314.0,8.0,39.25,9611.0
Random,mutation_rate 30%,319.0,8.0,39.875,10052.0
Random,mutation_rate 30%,322.0,8.0,40.25,9252.0
Random,mutation_rate 30%,313.0,8.0,39.125,9443.0
Random,mutation_rate 30%,317.0,8.0,39.625,9381.0
Random,mutation_rate 30%,312.0,8.0,39.0,9745.0
Random,mutation_rate 30%,314.0,8.0,39.25,9711.0
Random,mutation_rate 30%,309.0,8.0,38.625,9684.0
Random,mutation_rate 30%,312.0,8.0,39.0,9488.0
Random,mutation_rate 30%,311.0,8.0,38.875,9547.0
Random,mutation_rate 30%,316.0,8.0,39.5,9638.0
Random,mutation_rate 30%,317.0,8.0,39.625,9928.0
Random,mutation_rate 30%,313.0,8.0,39.125,9700.0
Random,mutation_rate 30%,319.0,8.0,39.875,9737.0
Random,mutation_rate 30%,316.0,8.0,39.5,9662.0
Random,mutation_rate 30%,324.0,8.0,40.5,9597.0
Random,mutation_rate 30%,316.0,8.0,39.5,9640.0
Random,mutation_rate 30%,329.0,8.0,41.125,9653.0
Random,mutation_rate 30%,325.0,8.0,40.625,9625.0
Random,mutation_rate 30%,318.0,8.0,39.75,9441.0
Random,mutation_rate 30%,317.0,8.0,39.625,9895.0
Random,mutation_rate 30%,312.0,8.0,39.0,9684.0
Random,mutation_rate 30%,321.0,8.0,40.125,9603.0
Random,mutation_rate 30%,324.0,8.0,40.5,9378.0
Random,mutation_rate 30%,314.0,8.0,39.25,9974.0
Random,mutation_rate 30%,316.0,8.0,39.5,9872.0
Random,mutation_rate 30%,316.0,8.0,39.5,9074.0
Random,mutation_rate 30%,316.0,8.0,39.5,9304.0
Random,mutation_rate 30%,312.0,8.0,39.0,9587.0
Random,mutation_rate 30%,317.0,8.0,39.625,9433.0
Random,mutation_rate 30%,309.0,8.0,38.625,9490.0
Random,mutation_rate 30%,309.0,7.0,44.142857142857146,9453.0
Random,mutation_rate 30%,320.0,8.0,40.0,9574.0
Random,mutation_rate 30%,319.0,8.0,39.875,9417.0
Random,mutation_rate 30%,315.0,8.0,39.375,9312.0
Random,mutation_rate 30%,324.0,8.0,40.5,9673.0
Random,mutation_rate 30%,317.0,8.0,39.625,9429.0
Random,mutation_rate 30%,309.0,8.0,38.625,8737.0
Random,mutation_rate 30%,315.0,8.0,39.375,9490.0
Random,mutation_rate 30%,319.0,8.0,39.875,9688.0
Random,mutation_rate 30%,311.0,8.0,38.875,9616.0
Random,mutation_rate 30%,317.0,8.0,39.625,9321.0
Random,mutation_rate 30%,311.0,8.0,38.875,9456.0
Random,mutation_rate 30%,314.0,8.0,39.25,9343.0
Random,mutation_rate 30%,315.0,8.0,39.375,9680.0
Random,mutation_rate 30%,318.0,8.0,39.75,9240.0
Random,mutation_rate 30%,316.0,8.0,39.5,9167.0
Random,mutation_rate 30%,344.0,8.0,43.0,9704.0
Random,mutation_rate 30%,324.0,8.0,40.5,9531.0
Random,mutation_rate 30%,316.0,8.0,39.5,9930.0
Random,mutation_rate 30%,319.0,8.0,39.875,9387.0
Random,mutation_rate 30%,315.0,8.0,39.375,9439.0
Random,mutation_rate 30%,317.0,8.0,39.625,9752.0
Random,mutation_rate 30%,315.0,8.0,39.375,9526.0
Random,mutation_rate 30%,313.0,8.0,39.125,9343.0
Random,mutation_rate 30%,322.0,8.0,40.25,9350.0
Random,mutation_rate 30%,310.0,8.0,38.75,9383.0
Random,mutation_rate 30%,317.0,8.0,39.625,9636.0
Random,mutation_rate 30%,314.0,8.0,39.25,9676.0
Random,mutation_rate 30%,316.0,8.0,39.5,9594.0
Random,mutation_rate 30%,319.0,8.0,39.875,10055.0
Random,mutation_rate 30%,314.0,8.0,39.25,9138.0
Random,mutation_rate 30%,316.0,8.0,39.5,9481.0
Random,mutation_rate 30%,311.0,8.0,38.875,9868.0
Random,mutation_rate 30%,335.0,8.0,41.875,9546.0
Random,mutation_rate 30%,330.0,8.0,41.25,9785.0
