Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,population_size 40,477.0,1.0,477.0,312.0
Random,population_size 40,327.0,2.0,163.5,309.0
Random,population_size 40,315.0,4.0,78.75,291.0
Random,population_size 40,311.0,5.0,62.2,294.0
Random,population_size 40,331.0,5.0,66.2,298.0
Random,population_size 40,335.0,5.0,67.0,302.0
Random,population_size 40,302.0,5.0,60.4,293.0
Random,population_size 40,306.0,5.0,61.2,296.0
Random,population_size 40,359.0,6.0,59.833333333333336,313.0
Random,population_size 40,300.0,5.0,60.0,291.0
Random,population_size 40,300.0,5.0,60.0,286.0
Random,population_size 40,363.0,6.0,60.5,296.0
Random,population_size 40,352.0,6.0,58.666666666666664,265.0
Random,population_size 40,352.0,6.0,58.666666666666664,299.0
Random,population_size 40,350.0,6.0,58.333333333333336,321.0
Random,population_size 40,349.0,6.0,58.166666666666664,301.0
Random,population_size 40,350.0,6.0,58.333333333333336,306.0
Random,population_size 40,352.0,6.0,58.666666666666664,289.0
Random,population_size 40,354.0,6.0,59.0,294.0
Random,population_size 40,348.0,6.0,58.0,287.0
Random,population_size 40,350.0,6.0,58.333333333333336,290.0
Random,population_size 40,357.0,6.0,59.5,285.0
Random,population_size 40,350.0,6.0,58.333333333333336,287.0
Random,population_size 40,302.0,5.0,60.4,267.0
Random,population_size 40,351.0,6.0,58.5,293.0
Random,population_size 40,303.0,5.0,60.6,317.0
Random,population_size 40,318.0,5.0,63.6,313.0
Random,population_size 40,310.0,5.0,62.0,285.0
Random,population_size 40,310.0,5.0,62.0,282.0
Random,population_size 40,347.0,6.0,57.833333333333336,302.0
Random,population_size 40,311.0,5.0,62.2,292.0
Random,population_size 40,351.0,6.0,58.5,312.0
Random,population_size 40,318.0,5.0,63.6,302.0
Random,population_size 40,354.0,6.0,59.0,305.0
Random,population_size 40,324.0,5.0,64.8,302.0
Random,population_size 40,348.0,6.0,58.0,289.0
Random,population_size 40,345.0,6.0,57.5,294.0
Random,population_size 40,354.0,6.0,59.0,289.0
Random,population_size 40,346.0,6.0,57.666666666666664,287.0
Random,population_size 40,352.0,6.0,58.666666666666664,285.0
Random,population_size 40,306.0,5.0,61.2,316.0
Random,population_size 40,353.0,6.0,58.833333333333336,301.0
Random,population_size 40,349.0,6.0,58.166666666666664,310.0
Random,population_size 40,300.0,5.0,60.0,299.0
Random,population_size 40,347.0,6.0,57.833333333333336,283.0
Random,population_size 40,348.0,6.0,58.0,282.0
Random,population_size 40,357.0,6.0,59.5,307.0
Random,population_size 40,352.0,6.0,58.666666666666664,287.0
Random,population_size 40,346.0,6.0,57.666666666666664,297.0
Random,population_size 40,349.0,6.0,58.166666666666664,301.0
Random,population_size 40,350.0,6.0,58.333333333333336,311.0
Random,population_size 40,303.0,5.0,60.6,298.0
Random,population_size 40,342.0,6.0,57.0,294.0
Random,population_size 40,303.0,5.0,60.6,316.0
Random,population_size 40,348.0,6.0,58.0,303.0
Random,population_size 40,349.0,6.0,58.166666666666664,291.0
Random,population_size 40,329.0,4.0,82.25,295.0
Random,population_size 40,347.0,6.0,57.833333333333336,295.0
Random,population_size 40,305.0,5.0,61.0,307.0
Random,population_size 40,354.0,6.0,59.0,286.0
Random,population_size 40,309.0,5.0,61.8,305.0
Random,population_size 40,311.0,5.0,62.2,312.0
Random,population_size 40,354.0,6.0,59.0,302.0
Random,population_size 40,351.0,6.0,58.5,311.0
Random,population_size 40,343.0,6.0,57.166666666666664,308.0
Random,population_size 40,351.0,6.0,58.5,304.0
Random,population_size 40,348.0,6.0,58.0,315.0
Random,population_size 40,343.0,6.0,57.166666666666664,302.0
Random,population_size 40,351.0,6.0,58.5,308.0
Random,population_size 40,346.0,6.0,57.666666666666664,290.0
Random,population_size 40,346.0,6.0,57.666666666666664,284.0
Random,population_size 40,347.0,6.0,57.833333333333336,292.0
Random,population_size 40,345.0,6.0,57.5,298.0
Random,population_size 40,352.0,6.0,58.666666666666664,306.0
Random,population_size 40,317.0,5.0,63.4,311.0
Random,population_size 40,304.0,5.0,60.8,311.0
Random,population_size 40,301.0,5.0,60.2,298.0
Random,population_size 40,353.0,6.0,58.833333333333336,293.0
Random,population_size 40,320.0,5.0,64.0,302.0
Random,population_size 40,301.0,5.0,60.2,303.0
Random,population_size 40,306.0,5.0,61.2,300.0
Random,population_size 40,305.0,5.0,61.0,315.0
Random,population_size 40,351.0,6.0,58.5,300.0
Random,population_size 40,318.0,5.0,63.6,318.0
Random,population_size 40,344.0,6.0,57.333333333333336,311.0
Random,population_size 40,350.0,6.0,58.333333333333336,301.0
Random,population_size 40,319.0,5.0,63.8,296.0
Random,population_size 40,355.0,6.0,59.166666666666664,306.0
Random,population_size 40,300.0,5.0,60.0,311.0
Random,population_size 40,349.0,6.0,58.166666666666664,301.0
Random,population_size 40,355.0,6.0,59.166666666666664,317.0
Random,population_size 40,349.0,6.0,58.166666666666664,307.0
Random,population_size 40,301.0,5.0,60.2,301.0
Random,population_size 40,345.0,6.0,57.5,280.0
Random,population_size 40,346.0,6.0,57.666666666666664,283.0
Random,population_size 40,350.0,6.0,58.333333333333336,295.0
Random,population_size 40,349.0,6.0,58.166666666666664,292.0
Random,population_size 40,343.0,6.0,57.166666666666664,300.0
Random,population_size 40,348.0,6.0,58.0,300.0
Random,population_size 40,307.0,5.0,61.4,306.0
