Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,population_size 20,343.0,3.0,114.33333333333333,9789.0
Random,population_size 20,317.0,7.0,45.285714285714285,9705.0
Random,population_size 20,302.0,11.0,27.454545454545453,9381.0
Random,population_size 20,322.0,12.0,26.833333333333332,9468.0
Random,population_size 20,321.0,13.0,24.692307692307693,9172.0
Random,population_size 20,307.0,16.0,19.1875,8936.0
Random,population_size 20,308.0,17.0,18.11764705882353,9376.0
Random,population_size 20,306.0,17.0,18.0,9158.0
Random,population_size 20,300.0,16.0,18.75,8956.0
Random,population_size 20,305.0,16.0,19.0625,8696.0
Random,population_size 20,313.0,17.0,18.41176470588235,9007.0
Random,population_size 20,310.0,17.0,18.235294117647058,8963.0
Random,population_size 20,315.0,17.0,18.529411764705884,9203.0
Random,population_size 20,312.0,17.0,18.352941176470587,8831.0
Random,population_size 20,306.0,17.0,18.0,9231.0
Random,population_size 20,312.0,17.0,18.352941176470587,8908.0
Random,population_size 20,317.0,17.0,18.647058823529413,9125.0
Random,population_size 20,308.0,17.0,18.11764705882353,9076.0
Random,population_size 20,306.0,17.0,18.0,9139.0
Random,population_size 20,309.0,17.0,18.176470588235293,9202.0
Random,population_size 20,304.0,17.0,17.88235294117647,9107.0
Random,population_size 20,303.0,17.0,17.823529411764707,8985.0
Random,population_size 20,308.0,17.0,18.11764705882353,9257.0
Random,population_size 20,303.0,17.0,17.823529411764707,9222.0
Random,population_size 20,311.0,17.0,18.294117647058822,9667.0
Random,population_size 20,308.0,17.0,18.11764705882353,9211.0
Random,population_size 20,311.0,16.0,19.4375,9451.0
Random,population_size 20,300.0,15.0,20.0,9183.0
Random,population_size 20,316.0,16.0,19.75,8996.0
Random,population_size 20,302.0,16.0,18.875,9317.0
Random,population_size 20,312.0,17.0,18.352941176470587,9480.0
Random,population_size 20,313.0,17.0,18.41176470588235,8966.0
Random,population_size 20,303.0,15.0,20.2,9079.0
Random,population_size 20,317.0,16.0,19.8125,9245.0
Random,population_size 20,310.0,17.0,18.235294117647058,9389.0
Random,population_size 20,313.0,17.0,18.41176470588235,9371.0
Random,population_size 20,309.0,17.0,18.176470588235293,9185.0
Random,population_size 20,306.0,17.0,18.0,9068.0
Random,population_size 20,308.0,17.0,18.11764705882353,9144.0
Random,population_size 20,319.0,17.0,18.764705882352942,9321.0
Random,population_size 20,305.0,16.0,19.0625,9549.0
Random,population_size 20,312.0,17.0,18.352941176470587,9089.0
Random,population_size 20,314.0,17.0,18.470588235294116,9170.0
Random,population_size 20,301.0,16.0,18.8125,9195.0
Random,population_size 20,308.0,16.0,19.25,9283.0
Random,population_size 20,303.0,16.0,18.9375,9102.0
Random,population_size 20,310.0,17.0,18.235294117647058,8964.0
Random,population_size 20,313.0,17.0,18.41176470588235,8765.0
