Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Improved,population_size 20,396.0,2.0,198.0,8694.0
Improved,population_size 20,340.0,6.0,56.666666666666664,8823.0
Improved,population_size 20,332.0,7.0,47.42857142857143,8755.0
Improved,population_size 20,300.0,9.0,33.333333333333336,8583.0
Improved,population_size 20,308.0,11.0,28.0,8700.0
Improved,population_size 20,302.0,11.0,27.454545454545453,8527.0
Improved,population_size 20,320.0,12.0,26.666666666666668,8597.0
Improved,population_size 20,317.0,12.0,26.416666666666668,8729.0
Improved,population_size 20,307.0,11.0,27.90909090909091,8599.0
Improved,population_size 20,301.0,11.0,27.363636363636363,8585.0
Improved,population_size 20,316.0,12.0,26.333333333333332,8588.0
Improved,population_size 20,315.0,11.0,28.636363636363637,8747.0
Improved,population_size 20,302.0,12.0,25.166666666666668,8813.0
Improved,population_size 20,318.0,12.0,26.5,8571.0
Improved,population_size 20,305.0,12.0,25.416666666666668,8581.0
Improved,population_size 20,313.0,12.0,26.083333333333332,8912.0
Improved,population_size 20,322.0,12.0,26.833333333333332,8726.0
Improved,population_size 20,312.0,12.0,26.0,8521.0
Improved,population_size 20,310.0,12.0,25.833333333333332,8930.0
Improved,population_size 20,307.0,12.0,25.583333333333332,8533.0
Improved,population_size 20,312.0,12.0,26.0,8892.0
Improved,population_size 20,313.0,12.0,26.083333333333332,8621.0
Improved,population_size 20,316.0,12.0,26.333333333333332,8539.0
Improved,population_size 20,313.0,12.0,26.083333333333332,8716.0
Improved,population_size 20,306.0,12.0,25.5,8883.0
Improved,population_size 20,312.0,12.0,26.0,8400.0
Improved,population_size 20,300.0,12.0,25.0,8435.0
Improved,population_size 20,309.0,12.0,25.75,8654.0
Improved,population_size 20,300.0,12.0,25.0,8444.0
Improved,population_size 20,308.0,12.0,25.666666666666668,8535.0
Improved,population_size 20,304.0,11.0,27.636363636363637,8490.0
Improved,population_size 20,314.0,12.0,26.166666666666668,8712.0
Improved,population_size 20,307.0,12.0,25.583333333333332,8911.0
Improved,population_size 20,306.0,12.0,25.5,8631.0
Improved,population_size 20,312.0,12.0,26.0,8729.0
Improved,population_size 20,302.0,12.0,25.166666666666668,8327.0
Improved,population_size 20,316.0,12.0,26.333333333333332,8573.0
Improved,population_size 20,309.0,12.0,25.75,8704.0
Improved,population_size 20,311.0,12.0,25.916666666666668,8884.0
Improved,population_size 20,310.0,12.0,25.833333333333332,8455.0
Improved,population_size 20,310.0,12.0,25.833333333333332,8601.0
Improved,population_size 20,311.0,12.0,25.916666666666668,8700.0
Improved,population_size 20,306.0,12.0,25.5,8695.0
Improved,population_size 20,306.0,12.0,25.5,8594.0
Improved,population_size 20,300.0,12.0,25.0,8568.0
Improved,population_size 20,307.0,12.0,25.583333333333332,8705.0
Improved,population_size 20,305.0,12.0,25.416666666666668,8737.0
Improved,population_size 20,309.0,12.0,25.75,8572.0
Improved,population_size 20,310.0,12.0,25.833333333333332,8545.0
Improved,population_size 20,313.0,12.0,26.083333333333332,8561.0
Improved,population_size 20,311.0,12.0,25.916666666666668,8766.0
Improved,population_size 20,304.0,12.0,25.333333333333332,8488.0
Improved,population_size 20,306.0,12.0,25.5,8601.0
Improved,population_size 20,305.0,12.0,25.416666666666668,8801.0
Improved,population_size 20,306.0,12.0,25.5,8749.0
Improved,population_size 20,307.0,12.0,25.583333333333332,8493.0
Improved,population_size 20,311.0,12.0,25.916666666666668,8518.0
Improved,population_size 20,300.0,11.0,27.272727272727273,8930.0
