Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Improved,population_size 40,422.0,1.0,422.0,184.0
Improved,population_size 40,345.0,2.0,172.5,189.0
Improved,population_size 40,381.0,3.0,127.0,184.0
Improved,population_size 40,343.0,4.0,85.75,193.0
Improved,population_size 40,323.0,4.0,80.75,186.0
Improved,population_size 40,334.0,4.0,83.5,187.0
Improved,population_size 40,356.0,4.0,89.0,186.0
Improved,population_size 40,329.0,4.0,82.25,187.0
Improved,population_size 40,319.0,4.0,79.75,191.0
Improved,population_size 40,305.0,4.0,76.25,190.0
Improved,population_size 40,314.0,4.0,78.5,187.0
Improved,population_size 40,307.0,4.0,76.75,190.0
Improved,population_size 40,313.0,4.0,78.25,190.0
Improved,population_size 40,345.0,4.0,86.25,183.0
Improved,population_size 40,326.0,3.0,108.66666666666667,188.0
Improved,population_size 40,342.0,4.0,85.5,182.0
Improved,population_size 40,311.0,4.0,77.75,185.0
Improved,population_size 40,330.0,4.0,82.5,181.0
Improved,population_size 40,325.0,4.0,81.25,187.0
Improved,population_size 40,313.0,4.0,78.25,187.0
Improved,population_size 40,316.0,4.0,79.0,186.0
Improved,population_size 40,313.0,4.0,78.25,186.0
Improved,population_size 40,316.0,4.0,79.0,181.0
Improved,population_size 40,318.0,4.0,79.5,188.0
Improved,population_size 40,330.0,4.0,82.5,182.0
Improved,population_size 40,327.0,4.0,81.75,185.0
Improved,population_size 40,324.0,4.0,81.0,191.0
Improved,population_size 40,341.0,4.0,85.25,186.0
Improved,population_size 40,321.0,4.0,80.25,186.0
Improved,population_size 40,322.0,4.0,80.5,184.0
Improved,population_size 40,313.0,4.0,78.25,185.0
Improved,population_size 40,315.0,4.0,78.75,191.0
Improved,population_size 40,322.0,4.0,80.5,182.0
Improved,population_size 40,317.0,4.0,79.25,179.0
Improved,population_size 40,340.0,4.0,85.0,187.0
Improved,population_size 40,323.0,4.0,80.75,192.0
Improved,population_size 40,312.0,4.0,78.0,188.0
Improved,population_size 40,317.0,4.0,79.25,184.0
Improved,population_size 40,313.0,4.0,78.25,191.0
Improved,population_size 40,322.0,4.0,80.5,189.0
Improved,population_size 40,315.0,4.0,78.75,183.0
Improved,population_size 40,316.0,4.0,79.0,189.0
Improved,population_size 40,306.0,4.0,76.5,181.0
Improved,population_size 40,320.0,4.0,80.0,184.0
Improved,population_size 40,307.0,4.0,76.75,185.0
Improved,population_size 40,311.0,4.0,77.75,190.0
Improved,population_size 40,317.0,4.0,79.25,187.0
Improved,population_size 40,311.0,4.0,77.75,188.0
Improved,population_size 40,316.0,4.0,79.0,191.0
Improved,population_size 40,317.0,4.0,79.25,187.0
Improved,population_size 40,311.0,4.0,77.75,190.0
Improved,population_size 40,309.0,4.0,77.25,188.0
Improved,population_size 40,317.0,4.0,79.25,185.0
Improved,population_size 40,314.0,4.0,78.5,181.0
Improved,population_size 40,310.0,4.0,77.5,186.0
Improved,population_size 40,314.0,4.0,78.5,185.0
Improved,population_size 40,309.0,4.0,77.25,188.0
Improved,population_size 40,315.0,4.0,78.75,188.0
Improved,population_size 40,309.0,4.0,77.25,188.0
Improved,population_size 40,364.0,4.0,91.0,186.0
Improved,population_size 40,321.0,4.0,80.25,186.0
Improved,population_size 40,314.0,4.0,78.5,184.0
Improved,population_size 40,327.0,4.0,81.75,184.0
Improved,population_size 40,331.0,4.0,82.75,190.0
Improved,population_size 40,324.0,4.0,81.0,187.0
Improved,population_size 40,322.0,4.0,80.5,184.0
Improved,population_size 40,314.0,4.0,78.5,187.0
Improved,population_size 40,321.0,4.0,80.25,184.0
Improved,population_size 40,313.0,4.0,78.25,182.0
Improved,population_size 40,320.0,4.0,80.0,187.0
Improved,population_size 40,305.0,4.0,76.25,189.0
Improved,population_size 40,312.0,4.0,78.0,188.0
Improved,population_size 40,314.0,4.0,78.5,184.0
Improved,population_size 40,322.0,4.0,80.5,182.0
Improved,population_size 40,321.0,4.0,80.25,187.0
Improved,population_size 40,310.0,4.0,77.5,187.0
Improved,population_size 40,312.0,4.0,78.0,184.0
Improved,population_size 40,315.0,4.0,78.75,184.0
Improved,population_size 40,318.0,4.0,79.5,190.0
Improved,population_size 40,309.0,4.0,77.25,187.0
Improved,population_size 40,319.0,4.0,79.75,186.0
Improved,population_size 40,319.0,4.0,79.75,183.0
Improved,population_size 40,323.0,4.0,80.75,188.0
Improved,population_size 40,317.0,4.0,79.25,186.0
Improved,population_size 40,314.0,4.0,78.5,184.0
Improved,population_size 40,318.0,4.0,79.5,186.0
Improved,population_size 40,314.0,4.0,78.5,187.0
Improved,population_size 40,316.0,4.0,79.0,182.0
Improved,population_size 40,319.0,4.0,79.75,188.0
Improved,population_size 40,306.0,4.0,76.5,182.0
Improved,population_size 40,328.0,4.0,82.0,188.0
Improved,population_size 40,313.0,4.0,78.25,187.0
Improved,population_size 40,321.0,4.0,80.25,189.0
Improved,population_size 40,316.0,4.0,79.0,184.0
Improved,population_size 40,335.0,4.0,83.75,186.0
Improved,population_size 40,336.0,4.0,84.0,181.0
Improved,population_size 40,353.0,4.0,88.25,184.0
Improved,population_size 40,356.0,4.0,89.0,186.0
Improved,population_size 40,359.0,4.0,89.75,185.0
Improved,population_size 40,334.0,4.0,83.5,191.0
