Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,mutation_prob 30%,478.0,1.0,478.0,7738.0
Random,mutation_prob 30%,327.0,4.0,81.75,8079.0
Random,mutation_prob 30%,322.0,5.0,64.4,7664.0
Random,mutation_prob 30%,324.0,6.0,54.0,7734.0
Random,mutation_prob 30%,348.0,7.0,49.714285714285715,7454.0
Random,mutation_prob 30%,342.0,7.0,48.857142857142854,7613.0
Random,mutation_prob 30%,321.0,8.0,40.125,7637.0
Random,mutation_prob 30%,321.0,8.0,40.125,7662.0
Random,mutation_prob 30%,337.0,8.0,42.125,7441.0
Random,mutation_prob 30%,303.0,7.0,43.285714285714285,7815.0
Random,mutation_prob 30%,326.0,8.0,40.75,7878.0
Random,mutation_prob 30%,332.0,8.0,41.5,7632.0
Random,mutation_prob 30%,334.0,8.0,41.75,7279.0
Random,mutation_prob 30%,309.0,7.0,44.142857142857146,8019.0
Random,mutation_prob 30%,335.0,8.0,41.875,7755.0
Random,mutation_prob 30%,333.0,8.0,41.625,7480.0
Random,mutation_prob 30%,305.0,7.0,43.57142857142857,7616.0
Random,mutation_prob 30%,342.0,8.0,42.75,7596.0
Random,mutation_prob 30%,331.0,8.0,41.375,7301.0
Random,mutation_prob 30%,325.0,8.0,40.625,7476.0
Random,mutation_prob 30%,331.0,8.0,41.375,7779.0
Random,mutation_prob 30%,332.0,8.0,41.5,7546.0
Random,mutation_prob 30%,330.0,8.0,41.25,7991.0
Random,mutation_prob 30%,334.0,8.0,41.75,7932.0
Random,mutation_prob 30%,306.0,7.0,43.714285714285715,7487.0
Random,mutation_prob 30%,324.0,8.0,40.5,7854.0
Random,mutation_prob 30%,332.0,8.0,41.5,7688.0
Random,mutation_prob 30%,326.0,8.0,40.75,7305.0
Random,mutation_prob 30%,332.0,8.0,41.5,7386.0
Random,mutation_prob 30%,336.0,8.0,42.0,7456.0
Random,mutation_prob 30%,327.0,8.0,40.875,7553.0
Random,mutation_prob 30%,333.0,8.0,41.625,7622.0
Random,mutation_prob 30%,324.0,8.0,40.5,7678.0
Random,mutation_prob 30%,326.0,8.0,40.75,7632.0
Random,mutation_prob 30%,327.0,8.0,40.875,7861.0
Random,mutation_prob 30%,320.0,8.0,40.0,7278.0
Random,mutation_prob 30%,336.0,8.0,42.0,7660.0
Random,mutation_prob 30%,326.0,8.0,40.75,7790.0
Random,mutation_prob 30%,326.0,8.0,40.75,7552.0
Random,mutation_prob 30%,323.0,8.0,40.375,7700.0
Random,mutation_prob 30%,321.0,8.0,40.125,7531.0
Random,mutation_prob 30%,323.0,8.0,40.375,7532.0
Random,mutation_prob 30%,317.0,8.0,39.625,7641.0
Random,mutation_prob 30%,318.0,8.0,39.75,7757.0
Random,mutation_prob 30%,328.0,8.0,41.0,7723.0
Random,mutation_prob 30%,336.0,8.0,42.0,7187.0
Random,mutation_prob 30%,327.0,8.0,40.875,7710.0
Random,mutation_prob 30%,332.0,8.0,41.5,7868.0
Random,mutation_prob 30%,318.0,8.0,39.75,7650.0
Random,mutation_prob 30%,320.0,8.0,40.0,7369.0
