Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,population_size 40,496.0,1.0,496.0,9568.0
Random,population_size 40,336.0,3.0,112.0,9619.0
Random,population_size 40,366.0,4.0,91.5,9717.0
Random,population_size 40,332.0,4.0,83.0,9844.0
Random,population_size 40,387.0,5.0,77.4,9631.0
Random,population_size 40,315.0,4.0,78.75,10042.0
Random,population_size 40,352.0,5.0,70.4,9662.0
Random,population_size 40,361.0,5.0,72.2,9777.0
Random,population_size 40,303.0,4.0,75.75,9890.0
Random,population_size 40,368.0,5.0,73.6,9654.0
Random,population_size 40,364.0,5.0,72.8,9482.0
Random,population_size 40,362.0,5.0,72.4,9414.0
Random,population_size 40,356.0,5.0,71.2,9084.0
Random,population_size 40,364.0,5.0,72.8,9666.0
Random,population_size 40,359.0,5.0,71.8,9414.0
Random,population_size 40,353.0,5.0,70.6,9874.0
Random,population_size 40,365.0,5.0,73.0,9752.0
Random,population_size 40,356.0,5.0,71.2,9663.0
Random,population_size 40,358.0,5.0,71.6,9771.0
Random,population_size 40,361.0,5.0,72.2,9378.0
Random,population_size 40,351.0,5.0,70.2,9776.0
Random,population_size 40,357.0,5.0,71.4,9426.0
Random,population_size 40,362.0,5.0,72.4,9756.0
Random,population_size 40,356.0,5.0,71.2,9644.0
Random,population_size 40,314.0,4.0,78.5,9693.0
Random,population_size 40,359.0,5.0,71.8,9888.0
Random,population_size 40,353.0,5.0,70.6,9969.0
Random,population_size 40,358.0,5.0,71.6,9924.0
Random,population_size 40,362.0,5.0,72.4,9518.0
Random,population_size 40,360.0,5.0,72.0,9837.0
Random,population_size 40,357.0,5.0,71.4,9772.0
Random,population_size 40,353.0,5.0,70.6,9885.0
Random,population_size 40,367.0,5.0,73.4,9562.0
Random,population_size 40,357.0,5.0,71.4,9903.0
Random,population_size 40,348.0,5.0,69.6,9130.0
Random,population_size 40,359.0,5.0,71.8,9793.0
Random,population_size 40,356.0,5.0,71.2,9835.0
Random,population_size 40,353.0,5.0,70.6,10135.0
Random,population_size 40,355.0,5.0,71.0,9302.0
Random,population_size 40,358.0,5.0,71.6,9411.0
Random,population_size 40,348.0,5.0,69.6,9550.0
Random,population_size 40,366.0,5.0,73.2,9367.0
Random,population_size 40,354.0,5.0,70.8,9484.0
Random,population_size 40,354.0,5.0,70.8,9366.0
Random,population_size 40,361.0,5.0,72.2,9407.0
Random,population_size 40,365.0,5.0,73.0,9330.0
Random,population_size 40,368.0,5.0,73.6,9513.0
Random,population_size 40,305.0,4.0,76.25,9845.0
Random,population_size 40,349.0,5.0,69.8,10025.0
Random,population_size 40,359.0,5.0,71.8,9936.0
Random,population_size 40,355.0,5.0,71.0,9761.0
Random,population_size 40,346.0,5.0,69.2,9726.0
Random,population_size 40,358.0,5.0,71.6,9648.0
Random,population_size 40,355.0,5.0,71.0,9660.0
Random,population_size 40,353.0,5.0,70.6,9689.0
Random,population_size 40,354.0,5.0,70.8,9813.0
Random,population_size 40,352.0,5.0,70.4,9772.0
Random,population_size 40,351.0,5.0,70.2,10142.0
Random,population_size 40,357.0,5.0,71.4,9821.0
Random,population_size 40,358.0,5.0,71.6,9508.0
Random,population_size 40,362.0,5.0,72.4,10062.0
Random,population_size 40,361.0,5.0,72.2,9846.0
Random,population_size 40,354.0,5.0,70.8,9625.0
Random,population_size 40,359.0,5.0,71.8,9582.0
Random,population_size 40,359.0,5.0,71.8,9265.0
Random,population_size 40,350.0,5.0,70.0,9933.0
Random,population_size 40,357.0,5.0,71.4,9708.0
Random,population_size 40,349.0,5.0,69.8,9405.0
Random,population_size 40,353.0,5.0,70.6,9768.0
Random,population_size 40,349.0,5.0,69.8,9511.0
Random,population_size 40,350.0,5.0,70.0,9701.0
Random,population_size 40,350.0,5.0,70.0,9338.0
Random,population_size 40,366.0,5.0,73.2,9690.0
Random,population_size 40,350.0,5.0,70.0,9382.0
Random,population_size 40,358.0,5.0,71.6,9211.0
Random,population_size 40,362.0,5.0,72.4,9860.0
Random,population_size 40,354.0,5.0,70.8,9902.0
Random,population_size 40,353.0,5.0,70.6,9790.0
Random,population_size 40,362.0,5.0,72.4,9811.0
Random,population_size 40,350.0,5.0,70.0,9998.0
Random,population_size 40,357.0,5.0,71.4,9837.0
Random,population_size 40,354.0,5.0,70.8,9768.0
Random,population_size 40,361.0,5.0,72.2,9826.0
Random,population_size 40,353.0,5.0,70.6,9780.0
Random,population_size 40,352.0,5.0,70.4,9307.0
Random,population_size 40,356.0,5.0,71.2,9779.0
Random,population_size 40,359.0,5.0,71.8,9684.0
Random,population_size 40,358.0,5.0,71.6,9424.0
Random,population_size 40,357.0,5.0,71.4,9914.0
Random,population_size 40,353.0,5.0,70.6,9109.0
Random,population_size 40,358.0,5.0,71.6,9833.0
Random,population_size 40,361.0,5.0,72.2,9625.0
Random,population_size 40,353.0,5.0,70.6,9983.0
Random,population_size 40,344.0,5.0,68.8,9566.0
Random,population_size 40,357.0,5.0,71.4,9584.0
Random,population_size 40,351.0,5.0,70.2,9478.0
Random,population_size 40,359.0,5.0,71.8,9214.0
Random,population_size 40,302.0,4.0,75.5,9812.0
Random,population_size 40,355.0,5.0,71.0,9740.0
Random,population_size 40,308.0,4.0,77.0,9810.0
