Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Improved,time_limit 500,623.0,2.0,311.5,8636.0
Improved,time_limit 500,512.0,7.0,73.14285714285714,8373.0
Improved,time_limit 500,538.0,9.0,59.77777777777778,8492.0
Improved,time_limit 500,524.0,9.0,58.22222222222222,8542.0
Improved,time_limit 500,505.0,8.0,63.125,8622.0
Improved,time_limit 500,554.0,7.0,79.14285714285714,8641.0
Improved,time_limit 500,509.0,8.0,63.625,8890.0
Improved,time_limit 500,553.0,10.0,55.3,8861.0
Improved,time_limit 500,505.0,9.0,56.111111111111114,8745.0
Improved,time_limit 500,548.0,10.0,54.8,8761.0
Improved,time_limit 500,506.0,9.0,56.22222222222222,8579.0
Improved,time_limit 500,533.0,9.0,59.22222222222222,8850.0
Improved,time_limit 500,504.0,9.0,56.0,8650.0
Improved,time_limit 500,520.0,9.0,57.77777777777778,8648.0
Improved,time_limit 500,506.0,9.0,56.22222222222222,8431.0
Improved,time_limit 500,500.0,9.0,55.55555555555556,8745.0
Improved,time_limit 500,549.0,10.0,54.9,8740.0
Improved,time_limit 500,538.0,10.0,53.8,8747.0
Improved,time_limit 500,503.0,9.0,55.888888888888886,8588.0
Improved,time_limit 500,536.0,10.0,53.6,8547.0
Improved,time_limit 500,552.0,10.0,55.2,8635.0
Improved,time_limit 500,538.0,10.0,53.8,8556.0
Improved,time_limit 500,539.0,10.0,53.9,8577.0
Improved,time_limit 500,501.0,9.0,55.666666666666664,8761.0
Improved,time_limit 500,543.0,10.0,54.3,8303.0
Improved,time_limit 500,546.0,10.0,54.6,8712.0
Improved,time_limit 500,520.0,9.0,57.77777777777778,8550.0
Improved,time_limit 500,506.0,9.0,56.22222222222222,8634.0
Improved,time_limit 500,548.0,10.0,54.8,8730.0
Improved,time_limit 500,542.0,10.0,54.2,8520.0
Improved,time_limit 500,550.0,10.0,55.0,8380.0
Improved,time_limit 500,548.0,10.0,54.8,8591.0
Improved,time_limit 500,537.0,10.0,53.7,8691.0
Improved,time_limit 500,548.0,10.0,54.8,8522.0
Improved,time_limit 500,548.0,10.0,54.8,8551.0
Improved,time_limit 500,537.0,10.0,53.7,8676.0
Improved,time_limit 500,546.0,10.0,54.6,8491.0
Improved,time_limit 500,545.0,10.0,54.5,8713.0
Improved,time_limit 500,549.0,10.0,54.9,8394.0
Improved,time_limit 500,543.0,10.0,54.3,8688.0
Improved,time_limit 500,543.0,10.0,54.3,8602.0
Improved,time_limit 500,538.0,10.0,53.8,8556.0
Improved,time_limit 500,509.0,9.0,56.55555555555556,8744.0
Improved,time_limit 500,548.0,9.0,60.888888888888886,8672.0
Improved,time_limit 500,538.0,9.0,59.77777777777778,8548.0
Improved,time_limit 500,566.0,8.0,70.75,8491.0
Improved,time_limit 500,535.0,8.0,66.875,8472.0
Improved,time_limit 500,504.0,9.0,56.0,8662.0
Improved,time_limit 500,553.0,10.0,55.3,8646.0
Improved,time_limit 500,546.0,10.0,54.6,8755.0
Improved,time_limit 500,554.0,10.0,55.4,8742.0
Improved,time_limit 500,514.0,9.0,57.111111111111114,8751.0
Improved,time_limit 500,506.0,9.0,56.22222222222222,8550.0
Improved,time_limit 500,508.0,9.0,56.44444444444444,8791.0
Improved,time_limit 500,537.0,10.0,53.7,8564.0
Improved,time_limit 500,540.0,10.0,54.0,8740.0
Improved,time_limit 500,531.0,10.0,53.1,8510.0
Improved,time_limit 500,537.0,10.0,53.7,8559.0
Improved,time_limit 500,541.0,10.0,54.1,8566.0
Improved,time_limit 500,525.0,9.0,58.333333333333336,8438.0
Improved,time_limit 500,537.0,10.0,53.7,8428.0
Improved,time_limit 500,533.0,10.0,53.3,8582.0
Improved,time_limit 500,539.0,10.0,53.9,8751.0
Improved,time_limit 500,538.0,10.0,53.8,8794.0
Improved,time_limit 500,537.0,10.0,53.7,8546.0
Improved,time_limit 500,535.0,10.0,53.5,8549.0
Improved,time_limit 500,535.0,10.0,53.5,8371.0
Improved,time_limit 500,530.0,10.0,53.0,8594.0
Improved,time_limit 500,534.0,10.0,53.4,8616.0
Improved,time_limit 500,543.0,10.0,54.3,8450.0
Improved,time_limit 500,540.0,10.0,54.0,8636.0
Improved,time_limit 500,537.0,10.0,53.7,8497.0
Improved,time_limit 500,542.0,10.0,54.2,8556.0
Improved,time_limit 500,537.0,10.0,53.7,8655.0
Improved,time_limit 500,530.0,10.0,53.0,8467.0
Improved,time_limit 500,543.0,10.0,54.3,8492.0
Improved,time_limit 500,539.0,10.0,53.9,8671.0
Improved,time_limit 500,546.0,10.0,54.6,8748.0
Improved,time_limit 500,548.0,10.0,54.8,8675.0
Improved,time_limit 500,535.0,10.0,53.5,8327.0
Improved,time_limit 500,548.0,10.0,54.8,8629.0
Improved,time_limit 500,544.0,10.0,54.4,8506.0
Improved,time_limit 500,533.0,10.0,53.3,8521.0
Improved,time_limit 500,527.0,10.0,52.7,8672.0
Improved,time_limit 500,537.0,10.0,53.7,8633.0
Improved,time_limit 500,536.0,10.0,53.6,8798.0
Improved,time_limit 500,535.0,10.0,53.5,8319.0
Improved,time_limit 500,533.0,10.0,53.3,8564.0
Improved,time_limit 500,532.0,10.0,53.2,8657.0
Improved,time_limit 500,544.0,10.0,54.4,8611.0
Improved,time_limit 500,538.0,10.0,53.8,8493.0
Improved,time_limit 500,536.0,10.0,53.6,8406.0
Improved,time_limit 500,540.0,10.0,54.0,8756.0
Improved,time_limit 500,533.0,10.0,53.3,8597.0
Improved,time_limit 500,533.0,10.0,53.3,8583.0
Improved,time_limit 500,543.0,10.0,54.3,8440.0
Improved,time_limit 500,527.0,10.0,52.7,8545.0
Improved,time_limit 500,531.0,10.0,53.1,8508.0
Improved,time_limit 500,533.0,10.0,53.3,8543.0
Improved,time_limit 500,542.0,10.0,54.2,8395.0
