Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Improved,mutation_prob 70%,437.0,1.0,437.0,7134.0
Improved,mutation_prob 70%,336.0,3.0,112.0,7047.0
Improved,mutation_prob 70%,300.0,4.0,75.0,7218.0
Improved,mutation_prob 70%,338.0,5.0,67.6,7193.0
Improved,mutation_prob 70%,345.0,6.0,57.5,7331.0
Improved,mutation_prob 70%,345.0,6.0,57.5,7244.0
Improved,mutation_prob 70%,326.0,6.0,54.333333333333336,7301.0
Improved,mutation_prob 70%,333.0,6.0,55.5,7085.0
Improved,mutation_prob 70%,350.0,6.0,58.333333333333336,7377.0
Improved,mutation_prob 70%,307.0,5.0,61.4,7104.0
Improved,mutation_prob 70%,344.0,6.0,57.333333333333336,7314.0
Improved,mutation_prob 70%,338.0,6.0,56.333333333333336,7062.0
Improved,mutation_prob 70%,334.0,6.0,55.666666666666664,7069.0
Improved,mutation_prob 70%,332.0,6.0,55.333333333333336,7210.0
Improved,mutation_prob 70%,334.0,6.0,55.666666666666664,7293.0
Improved,mutation_prob 70%,339.0,6.0,56.5,7226.0
Improved,mutation_prob 70%,329.0,6.0,54.833333333333336,6695.0
Improved,mutation_prob 70%,338.0,6.0,56.333333333333336,7281.0
Improved,mutation_prob 70%,336.0,6.0,56.0,7144.0
Improved,mutation_prob 70%,335.0,6.0,55.833333333333336,7162.0
Improved,mutation_prob 70%,334.0,6.0,55.666666666666664,6708.0
Improved,mutation_prob 70%,335.0,6.0,55.833333333333336,7167.0
Improved,mutation_prob 70%,341.0,6.0,56.833333333333336,7211.0
Improved,mutation_prob 70%,350.0,6.0,58.333333333333336,7213.0
Improved,mutation_prob 70%,336.0,6.0,56.0,7282.0
Improved,mutation_prob 70%,327.0,6.0,54.5,6941.0
Improved,mutation_prob 70%,330.0,6.0,55.0,7156.0
Improved,mutation_prob 70%,334.0,6.0,55.666666666666664,6991.0
Improved,mutation_prob 70%,324.0,6.0,54.0,7105.0
Improved,mutation_prob 70%,338.0,6.0,56.333333333333336,7166.0
Improved,mutation_prob 70%,332.0,6.0,55.333333333333336,7062.0
