Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,pool_size 100%,313.0,7.0,44.714285714285715,8284.0
Random,pool_size 100%,303.0,37.0,8.18918918918919,8556.0
Random,pool_size 100%,301.0,65.0,4.630769230769231,7867.0
Random,pool_size 100%,301.0,102.0,2.950980392156863,7815.0
Random,pool_size 100%,300.0,135.0,2.2222222222222223,8304.0
Random,pool_size 100%,300.0,156.0,1.9230769230769231,7432.0
Random,pool_size 100%,302.0,145.0,2.0827586206896553,8337.0
Random,pool_size 100%,300.0,161.0,1.8633540372670807,8346.0
Random,pool_size 100%,300.0,137.0,2.18978102189781,8529.0
Random,pool_size 100%,300.0,150.0,2.0,7941.0
Random,pool_size 100%,301.0,161.0,1.8695652173913044,8566.0
Random,pool_size 100%,301.0,150.0,2.006666666666667,8417.0
Random,pool_size 100%,300.0,156.0,1.9230769230769231,8142.0
Random,pool_size 100%,300.0,158.0,1.8987341772151898,7809.0
Random,pool_size 100%,301.0,158.0,1.9050632911392404,7563.0
Random,pool_size 100%,301.0,159.0,1.8930817610062893,8250.0
Random,pool_size 100%,300.0,157.0,1.910828025477707,8058.0
Random,pool_size 100%,300.0,156.0,1.9230769230769231,7976.0
Random,pool_size 100%,300.0,158.0,1.8987341772151898,8081.0
Random,pool_size 100%,300.0,158.0,1.8987341772151898,8295.0
Random,pool_size 100%,301.0,161.0,1.8695652173913044,8473.0
Random,pool_size 100%,300.0,157.0,1.910828025477707,8226.0
Random,pool_size 100%,301.0,159.0,1.8930817610062893,8230.0
Random,pool_size 100%,300.0,157.0,1.910828025477707,8147.0
Random,pool_size 100%,300.0,155.0,1.935483870967742,8129.0
Random,pool_size 100%,300.0,159.0,1.8867924528301887,8048.0
Random,pool_size 100%,301.0,158.0,1.9050632911392404,8201.0
Random,pool_size 100%,301.0,161.0,1.8695652173913044,8005.0
Random,pool_size 100%,300.0,155.0,1.935483870967742,8384.0
Random,pool_size 100%,301.0,158.0,1.9050632911392404,8171.0
Random,pool_size 100%,301.0,146.0,2.0616438356164384,7709.0
Random,pool_size 100%,301.0,156.0,1.9294871794871795,7351.0
Random,pool_size 100%,300.0,159.0,1.8867924528301887,8535.0
Random,pool_size 100%,300.0,155.0,1.935483870967742,8288.0
Random,pool_size 100%,301.0,159.0,1.8930817610062893,8329.0
Random,pool_size 100%,301.0,155.0,1.9419354838709677,8424.0
Random,pool_size 100%,300.0,155.0,1.935483870967742,8481.0
Random,pool_size 100%,301.0,156.0,1.9294871794871795,8227.0
Random,pool_size 100%,301.0,158.0,1.9050632911392404,8677.0
Random,pool_size 100%,300.0,156.0,1.9230769230769231,8113.0
Random,pool_size 100%,300.0,154.0,1.948051948051948,8450.0
Random,pool_size 100%,300.0,153.0,1.9607843137254901,8337.0
Random,pool_size 100%,301.0,151.0,1.9933774834437086,8343.0
Random,pool_size 100%,300.0,157.0,1.910828025477707,8465.0
Random,pool_size 100%,300.0,158.0,1.8987341772151898,7815.0
Random,pool_size 100%,300.0,154.0,1.948051948051948,8261.0
Random,pool_size 100%,301.0,156.0,1.9294871794871795,8256.0
Random,pool_size 100%,301.0,157.0,1.9171974522292994,7723.0
Random,pool_size 100%,302.0,159.0,1.89937106918239,8007.0
Random,pool_size 100%,301.0,158.0,1.9050632911392404,8412.0
Random,pool_size 100%,301.0,152.0,1.980263157894737,8034.0
Random,pool_size 100%,301.0,160.0,1.88125,8263.0
Random,pool_size 100%,300.0,155.0,1.935483870967742,8453.0
Random,pool_size 100%,301.0,162.0,1.8580246913580247,7944.0
Random,pool_size 100%,301.0,149.0,2.0201342281879193,8012.0
Random,pool_size 100%,300.0,159.0,1.8867924528301887,8274.0
Random,pool_size 100%,301.0,159.0,1.8930817610062893,8606.0
Random,pool_size 100%,302.0,157.0,1.9235668789808917,8686.0
Random,pool_size 100%,301.0,162.0,1.8580246913580247,8110.0
Random,pool_size 100%,300.0,156.0,1.9230769230769231,8594.0
