Algorithm Type, Changing Parameter, Time,Iterations,Time per Iteration,Value
Random,population_size 10,273.0,1.0,273.0,8400.0
Random,population_size 10,135.0,2.0,67.5,8472.0
Random,population_size 10,141.0,2.0,70.5,8379.0
Random,population_size 10,121.0,4.0,30.25,8249.0
Random,population_size 10,134.0,4.0,33.5,8260.0
Random,population_size 10,122.0,4.0,30.5,8370.0
Random,population_size 10,106.0,4.0,26.5,8256.0
Random,population_size 10,109.0,4.0,27.25,8592.0
Random,population_size 10,123.0,5.0,24.6,8317.0
Random,population_size 10,100.0,4.0,25.0,8402.0
Random,population_size 10,103.0,4.0,25.75,8679.0
Random,population_size 10,118.0,5.0,23.6,8266.0
Random,population_size 10,117.0,5.0,23.4,8323.0
Random,population_size 10,102.0,4.0,25.5,8654.0
Random,population_size 10,123.0,5.0,24.6,8781.0
Random,population_size 10,108.0,4.0,27.0,8384.0
Random,population_size 10,125.0,5.0,25.0,8231.0
Random,population_size 10,103.0,4.0,25.75,8383.0
Random,population_size 10,102.0,4.0,25.5,7879.0
Random,population_size 10,100.0,4.0,25.0,8227.0
Random,population_size 10,124.0,5.0,24.8,8497.0
Random,population_size 10,101.0,4.0,25.25,7726.0
Random,population_size 10,117.0,4.0,29.25,7776.0
Random,population_size 10,112.0,4.0,28.0,8407.0
Random,population_size 10,125.0,5.0,25.0,7813.0
Random,population_size 10,111.0,4.0,27.75,8602.0
Random,population_size 10,107.0,4.0,26.75,8815.0
Random,population_size 10,103.0,4.0,25.75,8251.0
Random,population_size 10,100.0,4.0,25.0,8470.0
Random,population_size 10,104.0,4.0,26.0,8186.0
Random,population_size 10,107.0,4.0,26.75,8274.0
Random,population_size 10,100.0,4.0,25.0,8526.0
Random,population_size 10,120.0,5.0,24.0,8018.0
Random,population_size 10,116.0,5.0,23.2,8208.0
Random,population_size 10,123.0,5.0,24.6,8511.0
Random,population_size 10,100.0,4.0,25.0,7921.0
Random,population_size 10,115.0,5.0,23.0,8441.0
Random,population_size 10,114.0,5.0,22.8,7758.0
Random,population_size 10,118.0,5.0,23.6,7896.0
Random,population_size 10,115.0,5.0,23.0,8002.0
Random,population_size 10,120.0,5.0,24.0,8353.0
Random,population_size 10,112.0,5.0,22.4,8348.0
Random,population_size 10,115.0,5.0,23.0,8575.0
Random,population_size 10,115.0,5.0,23.0,8978.0
Random,population_size 10,116.0,5.0,23.2,8274.0
Random,population_size 10,115.0,5.0,23.0,8106.0
Random,population_size 10,113.0,5.0,22.6,9117.0
Random,population_size 10,120.0,5.0,24.0,8525.0
Random,population_size 10,112.0,5.0,22.4,8245.0
Random,population_size 10,124.0,5.0,24.8,8179.0
Random,population_size 10,115.0,5.0,23.0,8530.0
Random,population_size 10,121.0,5.0,24.2,7984.0
Random,population_size 10,100.0,4.0,25.0,8281.0
Random,population_size 10,100.0,4.0,25.0,8127.0
Random,population_size 10,120.0,5.0,24.0,8121.0
Random,population_size 10,115.0,5.0,23.0,8910.0
Random,population_size 10,112.0,5.0,22.4,8486.0
Random,population_size 10,125.0,5.0,25.0,7997.0
Random,population_size 10,101.0,4.0,25.25,8246.0
Random,population_size 10,123.0,5.0,24.6,8663.0
Random,population_size 10,120.0,5.0,24.0,8109.0
Random,population_size 10,113.0,5.0,22.6,8625.0
Random,population_size 10,119.0,5.0,23.8,8341.0
Random,population_size 10,100.0,4.0,25.0,8199.0
Random,population_size 10,119.0,5.0,23.8,8205.0
Random,population_size 10,116.0,5.0,23.2,8008.0
Random,population_size 10,121.0,5.0,24.2,7812.0
Random,population_size 10,119.0,5.0,23.8,8270.0
Random,population_size 10,124.0,5.0,24.8,8499.0
Random,population_size 10,115.0,5.0,23.0,8316.0
Random,population_size 10,114.0,5.0,22.8,7821.0
Random,population_size 10,121.0,5.0,24.2,8301.0
Random,population_size 10,118.0,5.0,23.6,8076.0
Random,population_size 10,123.0,5.0,24.6,8354.0
Random,population_size 10,116.0,5.0,23.2,7845.0
Random,population_size 10,117.0,5.0,23.4,8018.0
Random,population_size 10,120.0,5.0,24.0,8213.0
Random,population_size 10,114.0,5.0,22.8,8220.0
Random,population_size 10,123.0,5.0,24.6,8279.0
Random,population_size 10,114.0,5.0,22.8,7877.0
Random,population_size 10,120.0,5.0,24.0,7996.0
Random,population_size 10,120.0,5.0,24.0,8181.0
Random,population_size 10,115.0,5.0,23.0,8584.0
Random,population_size 10,121.0,5.0,24.2,7826.0
Random,population_size 10,117.0,5.0,23.4,8060.0
Random,population_size 10,120.0,5.0,24.0,7884.0
Random,population_size 10,114.0,5.0,22.8,8287.0
Random,population_size 10,126.0,5.0,25.2,7969.0
Random,population_size 10,115.0,5.0,23.0,7692.0
Random,population_size 10,117.0,5.0,23.4,8053.0
Random,population_size 10,107.0,4.0,26.75,8474.0
Random,population_size 10,109.0,4.0,27.25,8219.0
Random,population_size 10,103.0,4.0,25.75,8267.0
Random,population_size 10,119.0,5.0,23.8,8101.0
Random,population_size 10,121.0,5.0,24.2,7815.0
Random,population_size 10,100.0,4.0,25.0,8125.0
Random,population_size 10,105.0,4.0,26.25,8549.0
Random,population_size 10,119.0,5.0,23.8,8035.0
Random,population_size 10,114.0,5.0,22.8,8499.0
Random,population_size 10,114.0,5.0,22.8,8341.0
