Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Improved,time_limit 100%,571.0,1.0,571.0,7126.0
Improved,time_limit 100%,194.0,1.0,194.0,7201.0
Improved,time_limit 100%,169.0,2.0,84.5,7297.0
Improved,time_limit 100%,176.0,2.0,88.0,7066.0
Improved,time_limit 100%,152.0,2.0,76.0,7250.0
Improved,time_limit 100%,140.0,2.0,70.0,7310.0
Improved,time_limit 100%,122.0,2.0,61.0,7037.0
Improved,time_limit 100%,125.0,2.0,62.5,7447.0
Improved,time_limit 100%,132.0,2.0,66.0,7200.0
Improved,time_limit 100%,128.0,2.0,64.0,7021.0
Improved,time_limit 100%,121.0,2.0,60.5,7073.0
Improved,time_limit 100%,134.0,2.0,67.0,7109.0
Improved,time_limit 100%,123.0,2.0,61.5,7286.0
Improved,time_limit 100%,130.0,2.0,65.0,7050.0
Improved,time_limit 100%,118.0,2.0,59.0,7218.0
Improved,time_limit 100%,116.0,2.0,58.0,7192.0
Improved,time_limit 100%,123.0,2.0,61.5,7114.0
Improved,time_limit 100%,110.0,2.0,55.0,7207.0
Improved,time_limit 100%,122.0,2.0,61.0,7002.0
Improved,time_limit 100%,123.0,2.0,61.5,7136.0
Improved,time_limit 100%,112.0,2.0,56.0,7191.0
Improved,time_limit 100%,123.0,2.0,61.5,7018.0
Improved,time_limit 100%,120.0,2.0,60.0,6920.0
Improved,time_limit 100%,133.0,2.0,66.5,7185.0
Improved,time_limit 100%,114.0,2.0,57.0,7207.0
Improved,time_limit 100%,118.0,2.0,59.0,7406.0
Improved,time_limit 100%,117.0,2.0,58.5,7424.0
Improved,time_limit 100%,122.0,2.0,61.0,7100.0
Improved,time_limit 100%,115.0,2.0,57.5,7269.0
Improved,time_limit 100%,126.0,2.0,63.0,6845.0
Improved,time_limit 100%,113.0,2.0,56.5,7161.0
Improved,time_limit 100%,121.0,2.0,60.5,6893.0
Improved,time_limit 100%,124.0,2.0,62.0,7178.0
Improved,time_limit 100%,111.0,2.0,55.5,7220.0
Improved,time_limit 100%,124.0,2.0,62.0,7086.0
Improved,time_limit 100%,117.0,2.0,58.5,7468.0
Improved,time_limit 100%,125.0,2.0,62.5,7011.0
Improved,time_limit 100%,118.0,2.0,59.0,7292.0
Improved,time_limit 100%,114.0,2.0,57.0,7076.0
Improved,time_limit 100%,118.0,2.0,59.0,6970.0
Improved,time_limit 100%,120.0,2.0,60.0,7358.0
Improved,time_limit 100%,120.0,2.0,60.0,7243.0
Improved,time_limit 100%,139.0,2.0,69.5,7255.0
Improved,time_limit 100%,119.0,2.0,59.5,7097.0
Improved,time_limit 100%,122.0,2.0,61.0,7230.0
Improved,time_limit 100%,121.0,2.0,60.5,7264.0
Improved,time_limit 100%,119.0,2.0,59.5,7087.0
Improved,time_limit 100%,115.0,2.0,57.5,6961.0
Improved,time_limit 100%,115.0,2.0,57.5,7135.0
Improved,time_limit 100%,124.0,2.0,62.0,6944.0
Improved,time_limit 100%,115.0,2.0,57.5,7239.0
Improved,time_limit 100%,125.0,2.0,62.5,7192.0
Improved,time_limit 100%,118.0,2.0,59.0,7304.0
Improved,time_limit 100%,121.0,2.0,60.5,7471.0
Improved,time_limit 100%,117.0,2.0,58.5,7314.0
Improved,time_limit 100%,119.0,2.0,59.5,7097.0
Improved,time_limit 100%,114.0,2.0,57.0,7092.0
Improved,time_limit 100%,121.0,2.0,60.5,7305.0
Improved,time_limit 100%,117.0,2.0,58.5,7173.0
Improved,time_limit 100%,121.0,2.0,60.5,7108.0
Improved,time_limit 100%,133.0,2.0,66.5,7244.0
Improved,time_limit 100%,118.0,2.0,59.0,7163.0
Improved,time_limit 100%,116.0,2.0,58.0,7019.0
Improved,time_limit 100%,122.0,2.0,61.0,7250.0
Improved,time_limit 100%,115.0,2.0,57.5,7400.0
Improved,time_limit 100%,126.0,2.0,63.0,7039.0
Improved,time_limit 100%,109.0,2.0,54.5,7414.0
Improved,time_limit 100%,114.0,2.0,57.0,7198.0
Improved,time_limit 100%,126.0,2.0,63.0,7184.0
Improved,time_limit 100%,119.0,2.0,59.5,7159.0
Improved,time_limit 100%,118.0,2.0,59.0,6968.0
Improved,time_limit 100%,117.0,2.0,58.5,7454.0
Improved,time_limit 100%,116.0,2.0,58.0,7232.0
Improved,time_limit 100%,118.0,2.0,59.0,6943.0
Improved,time_limit 100%,126.0,2.0,63.0,7344.0
Improved,time_limit 100%,115.0,2.0,57.5,7337.0
Improved,time_limit 100%,111.0,2.0,55.5,7177.0
Improved,time_limit 100%,128.0,2.0,64.0,7307.0
Improved,time_limit 100%,115.0,2.0,57.5,7274.0
Improved,time_limit 100%,123.0,2.0,61.5,7111.0
Improved,time_limit 100%,114.0,2.0,57.0,7121.0
Improved,time_limit 100%,112.0,2.0,56.0,7397.0
Improved,time_limit 100%,122.0,2.0,61.0,7402.0
Improved,time_limit 100%,123.0,2.0,61.5,7321.0
Improved,time_limit 100%,124.0,2.0,62.0,7105.0
Improved,time_limit 100%,113.0,2.0,56.5,7112.0
Improved,time_limit 100%,124.0,2.0,62.0,7345.0
Improved,time_limit 100%,122.0,2.0,61.0,7007.0
Improved,time_limit 100%,113.0,2.0,56.5,7475.0
Improved,time_limit 100%,112.0,2.0,56.0,7150.0
Improved,time_limit 100%,120.0,2.0,60.0,7379.0
Improved,time_limit 100%,112.0,2.0,56.0,7190.0
Improved,time_limit 100%,118.0,2.0,59.0,6768.0
Improved,time_limit 100%,117.0,2.0,58.5,7211.0
Improved,time_limit 100%,114.0,2.0,57.0,7174.0
Improved,time_limit 100%,120.0,2.0,60.0,7164.0
Improved,time_limit 100%,125.0,2.0,62.5,7142.0
Improved,time_limit 100%,119.0,2.0,59.5,7015.0
Improved,time_limit 100%,117.0,2.0,58.5,7291.0
Improved,time_limit 100%,113.0,2.0,56.5,7304.0
