Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,pool_size 100%,314.0,18.0,17.444444444444443,10045.0
Random,pool_size 100%,305.0,33.0,9.242424242424242,10040.0
Random,pool_size 100%,304.0,55.0,5.527272727272727,10388.0
Random,pool_size 100%,300.0,87.0,3.4482758620689653,10317.0
Random,pool_size 100%,301.0,93.0,3.236559139784946,9892.0
Random,pool_size 100%,305.0,125.0,2.44,10469.0
Random,pool_size 100%,300.0,154.0,1.948051948051948,9964.0
Random,pool_size 100%,300.0,161.0,1.8633540372670807,10546.0
Random,pool_size 100%,301.0,153.0,1.9673202614379084,9884.0
Random,pool_size 100%,301.0,154.0,1.9545454545454546,10235.0
Random,pool_size 100%,300.0,158.0,1.8987341772151898,10389.0
Random,pool_size 100%,300.0,154.0,1.948051948051948,10134.0
Random,pool_size 100%,300.0,160.0,1.875,9978.0
Random,pool_size 100%,301.0,156.0,1.9294871794871795,10351.0
Random,pool_size 100%,301.0,161.0,1.8695652173913044,10013.0
Random,pool_size 100%,300.0,156.0,1.9230769230769231,10309.0
Random,pool_size 100%,301.0,162.0,1.8580246913580247,9973.0
Random,pool_size 100%,301.0,159.0,1.8930817610062893,10872.0
Random,pool_size 100%,301.0,160.0,1.88125,10046.0
Random,pool_size 100%,300.0,156.0,1.9230769230769231,10026.0
Random,pool_size 100%,301.0,162.0,1.8580246913580247,9763.0
Random,pool_size 100%,300.0,159.0,1.8867924528301887,10001.0
Random,pool_size 100%,300.0,137.0,2.18978102189781,10066.0
Random,pool_size 100%,301.0,144.0,2.0902777777777777,10351.0
Random,pool_size 100%,301.0,159.0,1.8930817610062893,10268.0
Random,pool_size 100%,301.0,163.0,1.8466257668711656,10300.0
Random,pool_size 100%,300.0,160.0,1.875,9888.0
Random,pool_size 100%,300.0,160.0,1.875,9971.0
Random,pool_size 100%,300.0,158.0,1.8987341772151898,10111.0
Random,pool_size 100%,300.0,157.0,1.910828025477707,9431.0
