Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,mutation_prob 30%,365.0,2.0,182.5,339.0
Random,mutation_prob 30%,305.0,2.0,152.5,325.0
Random,mutation_prob 30%,306.0,6.0,51.0,305.0
Random,mutation_prob 30%,302.0,8.0,37.75,297.0
Random,mutation_prob 30%,301.0,8.0,37.625,309.0
Random,mutation_prob 30%,320.0,8.0,40.0,299.0
Random,mutation_prob 30%,326.0,8.0,40.75,301.0
Random,mutation_prob 30%,325.0,8.0,40.625,281.0
Random,mutation_prob 30%,323.0,10.0,32.3,289.0
Random,mutation_prob 30%,305.0,9.0,33.888888888888886,281.0
Random,mutation_prob 30%,311.0,9.0,34.55555555555556,303.0
Random,mutation_prob 30%,325.0,10.0,32.5,299.0
Random,mutation_prob 30%,327.0,10.0,32.7,277.0
Random,mutation_prob 30%,329.0,9.0,36.55555555555556,263.0
Random,mutation_prob 30%,321.0,8.0,40.125,308.0
Random,mutation_prob 30%,328.0,9.0,36.44444444444444,299.0
Random,mutation_prob 30%,320.0,10.0,32.0,310.0
Random,mutation_prob 30%,305.0,9.0,33.888888888888886,258.0
Random,mutation_prob 30%,309.0,9.0,34.333333333333336,306.0
Random,mutation_prob 30%,327.0,10.0,32.7,284.0
Random,mutation_prob 30%,323.0,10.0,32.3,303.0
Random,mutation_prob 30%,325.0,10.0,32.5,281.0
Random,mutation_prob 30%,306.0,9.0,34.0,311.0
Random,mutation_prob 30%,326.0,10.0,32.6,291.0
Random,mutation_prob 30%,329.0,10.0,32.9,305.0
Random,mutation_prob 30%,327.0,10.0,32.7,302.0
Random,mutation_prob 30%,301.0,9.0,33.44444444444444,282.0
Random,mutation_prob 30%,329.0,10.0,32.9,287.0
Random,mutation_prob 30%,326.0,10.0,32.6,298.0
Random,mutation_prob 30%,304.0,9.0,33.77777777777778,304.0
Random,mutation_prob 30%,303.0,9.0,33.666666666666664,280.0
Random,mutation_prob 30%,330.0,10.0,33.0,308.0
Random,mutation_prob 30%,300.0,9.0,33.333333333333336,306.0
Random,mutation_prob 30%,330.0,10.0,33.0,296.0
Random,mutation_prob 30%,324.0,10.0,32.4,275.0
Random,mutation_prob 30%,329.0,10.0,32.9,280.0
Random,mutation_prob 30%,324.0,10.0,32.4,307.0
Random,mutation_prob 30%,321.0,10.0,32.1,308.0
Random,mutation_prob 30%,326.0,10.0,32.6,323.0
Random,mutation_prob 30%,300.0,9.0,33.333333333333336,297.0
Random,mutation_prob 30%,324.0,10.0,32.4,279.0
Random,mutation_prob 30%,323.0,10.0,32.3,307.0
Random,mutation_prob 30%,300.0,9.0,33.333333333333336,287.0
Random,mutation_prob 30%,324.0,10.0,32.4,286.0
Random,mutation_prob 30%,325.0,10.0,32.5,313.0
Random,mutation_prob 30%,320.0,10.0,32.0,292.0
Random,mutation_prob 30%,331.0,10.0,33.1,315.0
Random,mutation_prob 30%,324.0,10.0,32.4,260.0
Random,mutation_prob 30%,326.0,10.0,32.6,272.0
Random,mutation_prob 30%,326.0,10.0,32.6,300.0
Random,mutation_prob 30%,327.0,10.0,32.7,277.0
Random,mutation_prob 30%,329.0,10.0,32.9,302.0
Random,mutation_prob 30%,302.0,9.0,33.55555555555556,305.0
Random,mutation_prob 30%,300.0,9.0,33.333333333333336,293.0
Random,mutation_prob 30%,326.0,10.0,32.6,299.0
Random,mutation_prob 30%,301.0,9.0,33.44444444444444,308.0
Random,mutation_prob 30%,325.0,10.0,32.5,295.0
Random,mutation_prob 30%,321.0,10.0,32.1,289.0
Random,mutation_prob 30%,319.0,10.0,31.9,314.0
Random,mutation_prob 30%,301.0,9.0,33.44444444444444,312.0
Random,mutation_prob 30%,322.0,10.0,32.2,296.0
Random,mutation_prob 30%,324.0,10.0,32.4,293.0
Random,mutation_prob 30%,329.0,10.0,32.9,305.0
Random,mutation_prob 30%,322.0,10.0,32.2,295.0
Random,mutation_prob 30%,326.0,10.0,32.6,285.0
Random,mutation_prob 30%,330.0,10.0,33.0,298.0
Random,mutation_prob 30%,326.0,10.0,32.6,297.0
Random,mutation_prob 30%,323.0,10.0,32.3,268.0
Random,mutation_prob 30%,327.0,10.0,32.7,304.0
