Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,mutation_rate 70%,310.0,1.0,310.0,10002.0
Random,mutation_rate 70%,317.0,3.0,105.66666666666667,10410.0
Random,mutation_rate 70%,302.0,5.0,60.4,9765.0
Random,mutation_rate 70%,337.0,6.0,56.166666666666664,9816.0
Random,mutation_rate 70%,320.0,7.0,45.714285714285715,8982.0
Random,mutation_rate 70%,318.0,7.0,45.42857142857143,9756.0
Random,mutation_rate 70%,319.0,7.0,45.57142857142857,9839.0
Random,mutation_rate 70%,318.0,8.0,39.75,9880.0
Random,mutation_rate 70%,332.0,8.0,41.5,9514.0
Random,mutation_rate 70%,329.0,8.0,41.125,9367.0
Random,mutation_rate 70%,315.0,8.0,39.375,9379.0
Random,mutation_rate 70%,325.0,8.0,40.625,9129.0
Random,mutation_rate 70%,328.0,8.0,41.0,9286.0
Random,mutation_rate 70%,322.0,8.0,40.25,9686.0
Random,mutation_rate 70%,324.0,8.0,40.5,9644.0
Random,mutation_rate 70%,321.0,8.0,40.125,9501.0
Random,mutation_rate 70%,330.0,8.0,41.25,8969.0
Random,mutation_rate 70%,317.0,8.0,39.625,10091.0
Random,mutation_rate 70%,326.0,8.0,40.75,9755.0
Random,mutation_rate 70%,325.0,8.0,40.625,9439.0
Random,mutation_rate 70%,321.0,8.0,40.125,9432.0
Random,mutation_rate 70%,327.0,8.0,40.875,9620.0
Random,mutation_rate 70%,316.0,8.0,39.5,9640.0
Random,mutation_rate 70%,324.0,8.0,40.5,9961.0
Random,mutation_rate 70%,322.0,8.0,40.25,9593.0
Random,mutation_rate 70%,326.0,8.0,40.75,9682.0
Random,mutation_rate 70%,323.0,8.0,40.375,9012.0
Random,mutation_rate 70%,319.0,8.0,39.875,9534.0
Random,mutation_rate 70%,332.0,8.0,41.5,9477.0
Random,mutation_rate 70%,331.0,8.0,41.375,9629.0
Random,mutation_rate 70%,331.0,8.0,41.375,9957.0
Random,mutation_rate 70%,316.0,8.0,39.5,9921.0
Random,mutation_rate 70%,315.0,8.0,39.375,9632.0
Random,mutation_rate 70%,320.0,8.0,40.0,9611.0
Random,mutation_rate 70%,318.0,8.0,39.75,9349.0
Random,mutation_rate 70%,328.0,8.0,41.0,9603.0
Random,mutation_rate 70%,326.0,8.0,40.75,9423.0
Random,mutation_rate 70%,317.0,8.0,39.625,9539.0
Random,mutation_rate 70%,323.0,8.0,40.375,9523.0
Random,mutation_rate 70%,320.0,8.0,40.0,9550.0
Random,mutation_rate 70%,319.0,8.0,39.875,9487.0
Random,mutation_rate 70%,318.0,8.0,39.75,9678.0
Random,mutation_rate 70%,319.0,8.0,39.875,9857.0
Random,mutation_rate 70%,316.0,8.0,39.5,9511.0
Random,mutation_rate 70%,315.0,8.0,39.375,9978.0
Random,mutation_rate 70%,323.0,8.0,40.375,9379.0
Random,mutation_rate 70%,316.0,8.0,39.5,9713.0
Random,mutation_rate 70%,313.0,8.0,39.125,9242.0
Random,mutation_rate 70%,315.0,8.0,39.375,9302.0
Random,mutation_rate 70%,320.0,8.0,40.0,9674.0
Random,mutation_rate 70%,318.0,8.0,39.75,9808.0
Random,mutation_rate 70%,315.0,8.0,39.375,9810.0
