Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Improved,population_size 20,330.0,3.0,110.0,188.0
Improved,population_size 20,301.0,5.0,60.2,186.0
Improved,population_size 20,310.0,6.0,51.666666666666664,186.0
Improved,population_size 20,306.0,11.0,27.818181818181817,192.0
Improved,population_size 20,301.0,13.0,23.153846153846153,188.0
Improved,population_size 20,305.0,11.0,27.727272727272727,186.0
Improved,population_size 20,301.0,11.0,27.363636363636363,194.0
Improved,population_size 20,312.0,14.0,22.285714285714285,188.0
Improved,population_size 20,308.0,14.0,22.0,193.0
Improved,population_size 20,304.0,14.0,21.714285714285715,187.0
Improved,population_size 20,301.0,14.0,21.5,187.0
Improved,population_size 20,317.0,15.0,21.133333333333333,184.0
Improved,population_size 20,319.0,15.0,21.266666666666666,189.0
Improved,population_size 20,300.0,14.0,21.428571428571427,185.0
Improved,population_size 20,317.0,15.0,21.133333333333333,194.0
Improved,population_size 20,306.0,14.0,21.857142857142858,188.0
Improved,population_size 20,302.0,13.0,23.23076923076923,184.0
Improved,population_size 20,300.0,14.0,21.428571428571427,182.0
Improved,population_size 20,313.0,15.0,20.866666666666667,187.0
Improved,population_size 20,303.0,14.0,21.642857142857142,191.0
Improved,population_size 20,317.0,15.0,21.133333333333333,185.0
Improved,population_size 20,300.0,14.0,21.428571428571427,187.0
Improved,population_size 20,319.0,15.0,21.266666666666666,191.0
Improved,population_size 20,310.0,15.0,20.666666666666668,188.0
Improved,population_size 20,313.0,15.0,20.866666666666667,190.0
Improved,population_size 20,310.0,15.0,20.666666666666668,191.0
Improved,population_size 20,318.0,14.0,22.714285714285715,185.0
Improved,population_size 20,309.0,15.0,20.6,188.0
Improved,population_size 20,301.0,14.0,21.5,183.0
Improved,population_size 20,307.0,15.0,20.466666666666665,192.0
Improved,population_size 20,300.0,14.0,21.428571428571427,183.0
Improved,population_size 20,320.0,15.0,21.333333333333332,194.0
Improved,population_size 20,312.0,15.0,20.8,186.0
Improved,population_size 20,320.0,15.0,21.333333333333332,187.0
Improved,population_size 20,301.0,14.0,21.5,187.0
Improved,population_size 20,314.0,15.0,20.933333333333334,200.0
Improved,population_size 20,311.0,15.0,20.733333333333334,188.0
Improved,population_size 20,316.0,15.0,21.066666666666666,190.0
Improved,population_size 20,306.0,15.0,20.4,192.0
Improved,population_size 20,319.0,15.0,21.266666666666666,192.0
Improved,population_size 20,304.0,14.0,21.714285714285715,181.0
Improved,population_size 20,317.0,15.0,21.133333333333333,186.0
Improved,population_size 20,300.0,14.0,21.428571428571427,188.0
Improved,population_size 20,313.0,15.0,20.866666666666667,185.0
Improved,population_size 20,300.0,14.0,21.428571428571427,183.0
Improved,population_size 20,315.0,15.0,21.0,193.0
Improved,population_size 20,318.0,15.0,21.2,188.0
Improved,population_size 20,318.0,15.0,21.2,191.0
Improved,population_size 20,311.0,15.0,20.733333333333334,190.0
Improved,population_size 20,314.0,15.0,20.933333333333334,183.0
Improved,population_size 20,310.0,15.0,20.666666666666668,188.0
Improved,population_size 20,306.0,14.0,21.857142857142858,186.0
Improved,population_size 20,315.0,13.0,24.23076923076923,182.0
Improved,population_size 20,315.0,13.0,24.23076923076923,194.0
Improved,population_size 20,306.0,14.0,21.857142857142858,185.0
Improved,population_size 20,319.0,15.0,21.266666666666666,184.0
Improved,population_size 20,308.0,13.0,23.692307692307693,192.0
Improved,population_size 20,308.0,14.0,22.0,186.0
Improved,population_size 20,304.0,14.0,21.714285714285715,188.0
Improved,population_size 20,306.0,15.0,20.4,189.0
Improved,population_size 20,307.0,15.0,20.466666666666665,190.0
Improved,population_size 20,317.0,15.0,21.133333333333333,194.0
Improved,population_size 20,324.0,14.0,23.142857142857142,189.0
Improved,population_size 20,313.0,13.0,24.076923076923077,184.0
Improved,population_size 20,302.0,14.0,21.571428571428573,187.0
Improved,population_size 20,302.0,14.0,21.571428571428573,193.0
Improved,population_size 20,315.0,15.0,21.0,190.0
Improved,population_size 20,314.0,15.0,20.933333333333334,189.0
Improved,population_size 20,315.0,15.0,21.0,192.0
Improved,population_size 20,312.0,15.0,20.8,189.0
Improved,population_size 20,326.0,12.0,27.166666666666668,187.0
Improved,population_size 20,307.0,12.0,25.583333333333332,183.0
Improved,population_size 20,307.0,13.0,23.615384615384617,192.0
Improved,population_size 20,311.0,13.0,23.923076923076923,184.0
Improved,population_size 20,317.0,13.0,24.384615384615383,194.0
Improved,population_size 20,307.0,15.0,20.466666666666665,187.0
Improved,population_size 20,312.0,13.0,24.0,197.0
Improved,population_size 20,315.0,15.0,21.0,188.0
Improved,population_size 20,316.0,15.0,21.066666666666666,189.0
Improved,population_size 20,310.0,15.0,20.666666666666668,186.0
Improved,population_size 20,319.0,15.0,21.266666666666666,190.0
Improved,population_size 20,310.0,15.0,20.666666666666668,193.0
Improved,population_size 20,302.0,14.0,21.571428571428573,190.0
Improved,population_size 20,304.0,14.0,21.714285714285715,191.0
Improved,population_size 20,312.0,14.0,22.285714285714285,189.0
Improved,population_size 20,319.0,14.0,22.785714285714285,190.0
Improved,population_size 20,303.0,14.0,21.642857142857142,190.0
Improved,population_size 20,308.0,13.0,23.692307692307693,189.0
Improved,population_size 20,310.0,14.0,22.142857142857142,188.0
Improved,population_size 20,318.0,15.0,21.2,192.0
Improved,population_size 20,310.0,15.0,20.666666666666668,193.0
Improved,population_size 20,302.0,14.0,21.571428571428573,193.0
Improved,population_size 20,305.0,14.0,21.785714285714285,189.0
Improved,population_size 20,305.0,15.0,20.333333333333332,193.0
Improved,population_size 20,318.0,15.0,21.2,191.0
Improved,population_size 20,314.0,15.0,20.933333333333334,192.0
Improved,population_size 20,315.0,15.0,21.0,194.0
Improved,population_size 20,304.0,15.0,20.266666666666666,192.0
Improved,population_size 20,314.0,15.0,20.933333333333334,191.0
Improved,population_size 20,308.0,15.0,20.533333333333335,189.0
