Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,time_limit 100,264.0,1.0,264.0,10039.0
Random,time_limit 100,135.0,1.0,135.0,9983.0
Random,time_limit 100,117.0,1.0,117.0,9959.0
Random,time_limit 100,132.0,2.0,66.0,9715.0
Random,time_limit 100,147.0,2.0,73.5,10255.0
Random,time_limit 100,130.0,2.0,65.0,10051.0
Random,time_limit 100,133.0,2.0,66.5,9798.0
Random,time_limit 100,122.0,2.0,61.0,9866.0
Random,time_limit 100,103.0,2.0,51.5,10144.0
Random,time_limit 100,121.0,2.0,60.5,10247.0
Random,time_limit 100,138.0,3.0,46.0,9637.0
Random,time_limit 100,138.0,3.0,46.0,9775.0
Random,time_limit 100,105.0,2.0,52.5,9900.0
Random,time_limit 100,131.0,3.0,43.666666666666664,9745.0
Random,time_limit 100,137.0,3.0,45.666666666666664,9397.0
Random,time_limit 100,129.0,3.0,43.0,9829.0
Random,time_limit 100,118.0,3.0,39.333333333333336,10137.0
Random,time_limit 100,133.0,3.0,44.333333333333336,9903.0
Random,time_limit 100,127.0,3.0,42.333333333333336,9945.0
Random,time_limit 100,130.0,3.0,43.333333333333336,9528.0
Random,time_limit 100,123.0,3.0,41.0,9743.0
Random,time_limit 100,127.0,3.0,42.333333333333336,9618.0
Random,time_limit 100,129.0,3.0,43.0,9702.0
Random,time_limit 100,126.0,3.0,42.0,9878.0
Random,time_limit 100,133.0,3.0,44.333333333333336,9604.0
Random,time_limit 100,125.0,3.0,41.666666666666664,10265.0
Random,time_limit 100,131.0,3.0,43.666666666666664,9609.0
Random,time_limit 100,128.0,3.0,42.666666666666664,9834.0
Random,time_limit 100,131.0,3.0,43.666666666666664,9918.0
Random,time_limit 100,125.0,3.0,41.666666666666664,9773.0
Random,time_limit 100,130.0,3.0,43.333333333333336,10239.0
Random,time_limit 100,129.0,3.0,43.0,9612.0
Random,time_limit 100,123.0,3.0,41.0,9922.0
Random,time_limit 100,125.0,3.0,41.666666666666664,10026.0
Random,time_limit 100,126.0,3.0,42.0,9221.0
Random,time_limit 100,133.0,3.0,44.333333333333336,9940.0
Random,time_limit 100,127.0,3.0,42.333333333333336,9676.0
Random,time_limit 100,133.0,3.0,44.333333333333336,10205.0
Random,time_limit 100,118.0,3.0,39.333333333333336,9726.0
Random,time_limit 100,133.0,3.0,44.333333333333336,9684.0
Random,time_limit 100,141.0,3.0,47.0,9899.0
Random,time_limit 100,136.0,3.0,45.333333333333336,9824.0
Random,time_limit 100,126.0,3.0,42.0,9710.0
Random,time_limit 100,127.0,3.0,42.333333333333336,9768.0
Random,time_limit 100,133.0,3.0,44.333333333333336,9821.0
Random,time_limit 100,127.0,3.0,42.333333333333336,9927.0
Random,time_limit 100,123.0,3.0,41.0,9773.0
Random,time_limit 100,130.0,3.0,43.333333333333336,9467.0
Random,time_limit 100,125.0,3.0,41.666666666666664,9913.0
Random,time_limit 100,125.0,3.0,41.666666666666664,9372.0
Random,time_limit 100,129.0,3.0,43.0,9630.0
Random,time_limit 100,128.0,3.0,42.666666666666664,10006.0
Random,time_limit 100,125.0,3.0,41.666666666666664,9868.0
Random,time_limit 100,124.0,3.0,41.333333333333336,9617.0
Random,time_limit 100,136.0,3.0,45.333333333333336,9752.0
Random,time_limit 100,129.0,3.0,43.0,9773.0
Random,time_limit 100,128.0,3.0,42.666666666666664,9653.0
Random,time_limit 100,121.0,3.0,40.333333333333336,9887.0
Random,time_limit 100,129.0,3.0,43.0,9808.0
Random,time_limit 100,131.0,3.0,43.666666666666664,9873.0
Random,time_limit 100,125.0,3.0,41.666666666666664,9666.0
Random,time_limit 100,134.0,3.0,44.666666666666664,10116.0
Random,time_limit 100,128.0,3.0,42.666666666666664,9564.0
Random,time_limit 100,131.0,3.0,43.666666666666664,9771.0
Random,time_limit 100,123.0,3.0,41.0,9815.0
Random,time_limit 100,132.0,3.0,44.0,9534.0
Random,time_limit 100,133.0,3.0,44.333333333333336,9962.0
Random,time_limit 100,125.0,3.0,41.666666666666664,9137.0
Random,time_limit 100,131.0,3.0,43.666666666666664,10154.0
Random,time_limit 100,135.0,3.0,45.0,9696.0
Random,time_limit 100,124.0,3.0,41.333333333333336,9629.0
Random,time_limit 100,122.0,3.0,40.666666666666664,9484.0
Random,time_limit 100,144.0,3.0,48.0,9471.0
Random,time_limit 100,104.0,2.0,52.0,10016.0
Random,time_limit 100,124.0,3.0,41.333333333333336,9896.0
Random,time_limit 100,138.0,3.0,46.0,10073.0
Random,time_limit 100,121.0,3.0,40.333333333333336,9720.0
Random,time_limit 100,148.0,3.0,49.333333333333336,10040.0
Random,time_limit 100,103.0,2.0,51.5,9773.0
Random,time_limit 100,125.0,3.0,41.666666666666664,9719.0
Random,time_limit 100,126.0,3.0,42.0,9581.0
Random,time_limit 100,125.0,3.0,41.666666666666664,9987.0
Random,time_limit 100,133.0,3.0,44.333333333333336,9742.0
Random,time_limit 100,127.0,3.0,42.333333333333336,9653.0
Random,time_limit 100,121.0,3.0,40.333333333333336,10131.0
Random,time_limit 100,125.0,3.0,41.666666666666664,9786.0
Random,time_limit 100,129.0,3.0,43.0,9675.0
Random,time_limit 100,131.0,3.0,43.666666666666664,10346.0
Random,time_limit 100,122.0,3.0,40.666666666666664,9696.0
Random,time_limit 100,115.0,3.0,38.333333333333336,9657.0
Random,time_limit 100,136.0,3.0,45.333333333333336,9522.0
Random,time_limit 100,130.0,3.0,43.333333333333336,9728.0
Random,time_limit 100,123.0,3.0,41.0,9804.0
Random,time_limit 100,117.0,3.0,39.0,9518.0
Random,time_limit 100,132.0,3.0,44.0,10277.0
Random,time_limit 100,130.0,3.0,43.333333333333336,9617.0
Random,time_limit 100,129.0,3.0,43.0,10081.0
Random,time_limit 100,123.0,3.0,41.0,10123.0
Random,time_limit 100,130.0,3.0,43.333333333333336,10466.0
Random,time_limit 100,128.0,3.0,42.666666666666664,9575.0
