Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Improved,pool_size 20%,410.0,1.0,410.0,189.0
Improved,pool_size 20%,350.0,5.0,70.0,184.0
Improved,pool_size 20%,311.0,6.0,51.833333333333336,186.0
Improved,pool_size 20%,336.0,8.0,42.0,187.0
Improved,pool_size 20%,332.0,8.0,41.5,186.0
Improved,pool_size 20%,335.0,8.0,41.875,191.0
Improved,pool_size 20%,333.0,8.0,41.625,188.0
Improved,pool_size 20%,301.0,7.0,43.0,184.0
Improved,pool_size 20%,335.0,8.0,41.875,192.0
Improved,pool_size 20%,308.0,7.0,44.0,184.0
Improved,pool_size 20%,337.0,8.0,42.125,187.0
Improved,pool_size 20%,316.0,8.0,39.5,186.0
Improved,pool_size 20%,328.0,8.0,41.0,186.0
Improved,pool_size 20%,317.0,8.0,39.625,186.0
Improved,pool_size 20%,321.0,8.0,40.125,192.0
Improved,pool_size 20%,318.0,8.0,39.75,190.0
Improved,pool_size 20%,319.0,8.0,39.875,188.0
Improved,pool_size 20%,339.0,8.0,42.375,190.0
Improved,pool_size 20%,317.0,7.0,45.285714285714285,181.0
Improved,pool_size 20%,330.0,8.0,41.25,186.0
Improved,pool_size 20%,330.0,8.0,41.25,183.0
Improved,pool_size 20%,330.0,8.0,41.25,187.0
Improved,pool_size 20%,323.0,8.0,40.375,187.0
Improved,pool_size 20%,323.0,8.0,40.375,185.0
Improved,pool_size 20%,326.0,8.0,40.75,183.0
Improved,pool_size 20%,321.0,8.0,40.125,194.0
Improved,pool_size 20%,335.0,8.0,41.875,187.0
Improved,pool_size 20%,327.0,8.0,40.875,188.0
Improved,pool_size 20%,324.0,8.0,40.5,192.0
Improved,pool_size 20%,301.0,7.0,43.0,181.0
Improved,pool_size 20%,308.0,7.0,44.0,184.0
Improved,pool_size 20%,327.0,8.0,40.875,193.0
Improved,pool_size 20%,326.0,8.0,40.75,189.0
Improved,pool_size 20%,322.0,8.0,40.25,178.0
Improved,pool_size 20%,337.0,8.0,42.125,180.0
Improved,pool_size 20%,333.0,8.0,41.625,184.0
Improved,pool_size 20%,332.0,8.0,41.5,187.0
Improved,pool_size 20%,321.0,8.0,40.125,190.0
Improved,pool_size 20%,329.0,8.0,41.125,187.0
Improved,pool_size 20%,322.0,8.0,40.25,187.0
Improved,pool_size 20%,325.0,8.0,40.625,187.0
Improved,pool_size 20%,327.0,8.0,40.875,181.0
Improved,pool_size 20%,323.0,8.0,40.375,186.0
Improved,pool_size 20%,330.0,8.0,41.25,183.0
Improved,pool_size 20%,322.0,8.0,40.25,184.0
Improved,pool_size 20%,327.0,8.0,40.875,189.0
Improved,pool_size 20%,329.0,8.0,41.125,192.0
Improved,pool_size 20%,321.0,8.0,40.125,191.0
Improved,pool_size 20%,333.0,8.0,41.625,187.0
Improved,pool_size 20%,325.0,8.0,40.625,186.0
Improved,pool_size 20%,338.0,8.0,42.25,190.0
Improved,pool_size 20%,324.0,8.0,40.5,188.0
Improved,pool_size 20%,328.0,8.0,41.0,185.0
Improved,pool_size 20%,329.0,8.0,41.125,185.0
Improved,pool_size 20%,300.0,7.0,42.857142857142854,186.0
Improved,pool_size 20%,335.0,8.0,41.875,185.0
Improved,pool_size 20%,329.0,8.0,41.125,187.0
Improved,pool_size 20%,334.0,8.0,41.75,189.0
Improved,pool_size 20%,326.0,8.0,40.75,189.0
Improved,pool_size 20%,324.0,8.0,40.5,189.0
Improved,pool_size 20%,319.0,8.0,39.875,191.0
Improved,pool_size 20%,327.0,8.0,40.875,192.0
Improved,pool_size 20%,325.0,8.0,40.625,188.0
Improved,pool_size 20%,326.0,8.0,40.75,187.0
Improved,pool_size 20%,323.0,8.0,40.375,191.0
Improved,pool_size 20%,322.0,8.0,40.25,184.0
Improved,pool_size 20%,320.0,8.0,40.0,191.0
Improved,pool_size 20%,323.0,8.0,40.375,189.0
Improved,pool_size 20%,323.0,8.0,40.375,192.0
Improved,pool_size 20%,323.0,8.0,40.375,189.0
Improved,pool_size 20%,312.0,7.0,44.57142857142857,188.0
Improved,pool_size 20%,319.0,8.0,39.875,192.0
Improved,pool_size 20%,323.0,8.0,40.375,184.0
Improved,pool_size 20%,319.0,8.0,39.875,189.0
Improved,pool_size 20%,328.0,8.0,41.0,178.0
Improved,pool_size 20%,331.0,8.0,41.375,183.0
Improved,pool_size 20%,330.0,8.0,41.25,189.0
Improved,pool_size 20%,325.0,8.0,40.625,195.0
Improved,pool_size 20%,321.0,8.0,40.125,183.0
Improved,pool_size 20%,327.0,8.0,40.875,184.0
Improved,pool_size 20%,321.0,8.0,40.125,181.0
Improved,pool_size 20%,329.0,8.0,41.125,185.0
Improved,pool_size 20%,324.0,8.0,40.5,186.0
Improved,pool_size 20%,320.0,8.0,40.0,184.0
Improved,pool_size 20%,324.0,8.0,40.5,189.0
Improved,pool_size 20%,325.0,8.0,40.625,189.0
Improved,pool_size 20%,326.0,8.0,40.75,188.0
Improved,pool_size 20%,321.0,8.0,40.125,189.0
Improved,pool_size 20%,321.0,8.0,40.125,191.0
Improved,pool_size 20%,302.0,7.0,43.142857142857146,190.0
Improved,pool_size 20%,321.0,8.0,40.125,185.0
Improved,pool_size 20%,328.0,8.0,41.0,196.0
Improved,pool_size 20%,326.0,8.0,40.75,186.0
Improved,pool_size 20%,332.0,8.0,41.5,188.0
Improved,pool_size 20%,325.0,8.0,40.625,183.0
Improved,pool_size 20%,322.0,8.0,40.25,180.0
Improved,pool_size 20%,330.0,8.0,41.25,184.0
Improved,pool_size 20%,320.0,8.0,40.0,187.0
Improved,pool_size 20%,327.0,8.0,40.875,193.0
Improved,pool_size 20%,319.0,8.0,39.875,182.0
