Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Improved,population_size 40,522.0,1.0,522.0,8708.0
Improved,population_size 40,372.0,2.0,186.0,8723.0
Improved,population_size 40,373.0,3.0,124.33333333333333,8736.0
Improved,population_size 40,342.0,3.0,114.0,8661.0
Improved,population_size 40,311.0,3.0,103.66666666666667,8627.0
Improved,population_size 40,300.0,3.0,100.0,8438.0
Improved,population_size 40,321.0,3.0,107.0,8527.0
Improved,population_size 40,384.0,4.0,96.0,8695.0
Improved,population_size 40,318.0,3.0,106.0,8703.0
Improved,population_size 40,311.0,3.0,103.66666666666667,8441.0
Improved,population_size 40,395.0,4.0,98.75,8641.0
Improved,population_size 40,349.0,3.0,116.33333333333333,8660.0
Improved,population_size 40,323.0,3.0,107.66666666666667,8638.0
Improved,population_size 40,384.0,3.0,128.0,8508.0
Improved,population_size 40,310.0,3.0,103.33333333333333,8610.0
Improved,population_size 40,306.0,3.0,102.0,8629.0
Improved,population_size 40,333.0,3.0,111.0,8750.0
Improved,population_size 40,310.0,3.0,103.33333333333333,8507.0
Improved,population_size 40,357.0,3.0,119.0,8650.0
Improved,population_size 40,311.0,3.0,103.66666666666667,8711.0
Improved,population_size 40,300.0,3.0,100.0,8647.0
Improved,population_size 40,392.0,4.0,98.0,8397.0
Improved,population_size 40,314.0,3.0,104.66666666666667,8616.0
Improved,population_size 40,315.0,3.0,105.0,8553.0
Improved,population_size 40,394.0,4.0,98.5,8394.0
Improved,population_size 40,303.0,3.0,101.0,8755.0
Improved,population_size 40,395.0,4.0,98.75,8609.0
Improved,population_size 40,395.0,4.0,98.75,8725.0
Improved,population_size 40,309.0,3.0,103.0,8619.0
Improved,population_size 40,300.0,3.0,100.0,8636.0
Improved,population_size 40,306.0,3.0,102.0,8558.0
Improved,population_size 40,394.0,4.0,98.5,8737.0
Improved,population_size 40,300.0,3.0,100.0,8611.0
Improved,population_size 40,300.0,3.0,100.0,8559.0
Improved,population_size 40,388.0,4.0,97.0,8402.0
Improved,population_size 40,394.0,4.0,98.5,8713.0
Improved,population_size 40,330.0,3.0,110.0,8677.0
Improved,population_size 40,319.0,3.0,106.33333333333333,8582.0
Improved,population_size 40,304.0,3.0,101.33333333333333,8545.0
