Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Random,mutation_prob 70%,330.0,1.0,330.0,7263.0
Random,mutation_prob 70%,326.0,2.0,163.0,7759.0
Random,mutation_prob 70%,338.0,6.0,56.333333333333336,8019.0
Random,mutation_prob 70%,353.0,6.0,58.833333333333336,7770.0
Random,mutation_prob 70%,327.0,6.0,54.5,8030.0
Random,mutation_prob 70%,304.0,7.0,43.42857142857143,7661.0
Random,mutation_prob 70%,318.0,7.0,45.42857142857143,7440.0
Random,mutation_prob 70%,318.0,8.0,39.75,7963.0
Random,mutation_prob 70%,330.0,8.0,41.25,7867.0
Random,mutation_prob 70%,327.0,7.0,46.714285714285715,7640.0
Random,mutation_prob 70%,320.0,7.0,45.714285714285715,7888.0
Random,mutation_prob 70%,330.0,8.0,41.25,7301.0
Random,mutation_prob 70%,329.0,8.0,41.125,7495.0
Random,mutation_prob 70%,334.0,8.0,41.75,7615.0
Random,mutation_prob 70%,344.0,8.0,43.0,7501.0
Random,mutation_prob 70%,320.0,7.0,45.714285714285715,7617.0
Random,mutation_prob 70%,329.0,7.0,47.0,7667.0
Random,mutation_prob 70%,307.0,7.0,43.857142857142854,7881.0
Random,mutation_prob 70%,313.0,7.0,44.714285714285715,7597.0
Random,mutation_prob 70%,332.0,7.0,47.42857142857143,7716.0
Random,mutation_prob 70%,319.0,7.0,45.57142857142857,7724.0
Random,mutation_prob 70%,304.0,6.0,50.666666666666664,7312.0
Random,mutation_prob 70%,313.0,7.0,44.714285714285715,7660.0
Random,mutation_prob 70%,315.0,7.0,45.0,7780.0
Random,mutation_prob 70%,308.0,7.0,44.0,7506.0
Random,mutation_prob 70%,311.0,7.0,44.42857142857143,7581.0
Random,mutation_prob 70%,329.0,8.0,41.125,7907.0
Random,mutation_prob 70%,328.0,8.0,41.0,7888.0
Random,mutation_prob 70%,302.0,7.0,43.142857142857146,7712.0
Random,mutation_prob 70%,332.0,8.0,41.5,7738.0
Random,mutation_prob 70%,326.0,8.0,40.75,7839.0
Random,mutation_prob 70%,300.0,7.0,42.857142857142854,7469.0
Random,mutation_prob 70%,324.0,8.0,40.5,7476.0
Random,mutation_prob 70%,329.0,8.0,41.125,7587.0
Random,mutation_prob 70%,312.0,7.0,44.57142857142857,7736.0
Random,mutation_prob 70%,322.0,8.0,40.25,7615.0
Random,mutation_prob 70%,329.0,8.0,41.125,7890.0
Random,mutation_prob 70%,326.0,8.0,40.75,7526.0
Random,mutation_prob 70%,338.0,8.0,42.25,7588.0
Random,mutation_prob 70%,308.0,7.0,44.0,8026.0
Random,mutation_prob 70%,351.0,7.0,50.142857142857146,7355.0
Random,mutation_prob 70%,355.0,6.0,59.166666666666664,7822.0
Random,mutation_prob 70%,390.0,7.0,55.714285714285715,7968.0
Random,mutation_prob 70%,332.0,7.0,47.42857142857143,7518.0
Random,mutation_prob 70%,305.0,6.0,50.833333333333336,7922.0
Random,mutation_prob 70%,308.0,5.0,61.6,7964.0
Random,mutation_prob 70%,303.0,6.0,50.5,8008.0
Random,mutation_prob 70%,314.0,6.0,52.333333333333336,7623.0
Random,mutation_prob 70%,323.0,6.0,53.833333333333336,7605.0
Random,mutation_prob 70%,342.0,7.0,48.857142857142854,7711.0
Random,mutation_prob 70%,321.0,8.0,40.125,7898.0
Random,mutation_prob 70%,317.0,8.0,39.625,7336.0
Random,mutation_prob 70%,304.0,7.0,43.42857142857143,7453.0
Random,mutation_prob 70%,320.0,7.0,45.714285714285715,7658.0
Random,mutation_prob 70%,334.0,7.0,47.714285714285715,7483.0
Random,mutation_prob 70%,343.0,7.0,49.0,7611.0
Random,mutation_prob 70%,326.0,8.0,40.75,7653.0
Random,mutation_prob 70%,342.0,7.0,48.857142857142854,7853.0
Random,mutation_prob 70%,303.0,7.0,43.285714285714285,7515.0
Random,mutation_prob 70%,320.0,6.0,53.333333333333336,7708.0
Random,mutation_prob 70%,321.0,6.0,53.5,7319.0
Random,mutation_prob 70%,329.0,7.0,47.0,7950.0
Random,mutation_prob 70%,308.0,7.0,44.0,7773.0
Random,mutation_prob 70%,301.0,6.0,50.166666666666664,7532.0
Random,mutation_prob 70%,344.0,7.0,49.142857142857146,7744.0
Random,mutation_prob 70%,312.0,6.0,52.0,7515.0
Random,mutation_prob 70%,325.0,8.0,40.625,7603.0
Random,mutation_prob 70%,321.0,8.0,40.125,7754.0
Random,mutation_prob 70%,348.0,7.0,49.714285714285715,7648.0
Random,mutation_prob 70%,322.0,7.0,46.0,7691.0
