Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Improved,mutation_rate 70%,488.0,1.0,488.0,8506.0
Improved,mutation_rate 70%,341.0,4.0,85.25,8508.0
Improved,mutation_rate 70%,357.0,5.0,71.4,8410.0
Improved,mutation_rate 70%,335.0,5.0,67.0,8754.0
Improved,mutation_rate 70%,328.0,6.0,54.666666666666664,8583.0
Improved,mutation_rate 70%,337.0,6.0,56.166666666666664,8504.0
Improved,mutation_rate 70%,343.0,6.0,57.166666666666664,8624.0
Improved,mutation_rate 70%,323.0,6.0,53.833333333333336,8400.0
Improved,mutation_rate 70%,318.0,5.0,63.6,8663.0
Improved,mutation_rate 70%,314.0,5.0,62.8,8638.0
Improved,mutation_rate 70%,324.0,6.0,54.0,8528.0
Improved,mutation_rate 70%,327.0,6.0,54.5,8713.0
Improved,mutation_rate 70%,330.0,6.0,55.0,8705.0
Improved,mutation_rate 70%,339.0,6.0,56.5,8436.0
Improved,mutation_rate 70%,324.0,6.0,54.0,8798.0
Improved,mutation_rate 70%,335.0,6.0,55.833333333333336,8707.0
Improved,mutation_rate 70%,324.0,6.0,54.0,8392.0
Improved,mutation_rate 70%,325.0,6.0,54.166666666666664,8432.0
Improved,mutation_rate 70%,325.0,6.0,54.166666666666664,8398.0
Improved,mutation_rate 70%,320.0,6.0,53.333333333333336,8773.0
Improved,mutation_rate 70%,339.0,6.0,56.5,8660.0
Improved,mutation_rate 70%,326.0,6.0,54.333333333333336,8616.0
Improved,mutation_rate 70%,324.0,6.0,54.0,8587.0
Improved,mutation_rate 70%,332.0,6.0,55.333333333333336,8736.0
Improved,mutation_rate 70%,324.0,6.0,54.0,8739.0
Improved,mutation_rate 70%,321.0,6.0,53.5,8707.0
Improved,mutation_rate 70%,322.0,6.0,53.666666666666664,8544.0
Improved,mutation_rate 70%,330.0,6.0,55.0,8765.0
Improved,mutation_rate 70%,338.0,6.0,56.333333333333336,8742.0
Improved,mutation_rate 70%,325.0,6.0,54.166666666666664,8537.0
Improved,mutation_rate 70%,332.0,6.0,55.333333333333336,8593.0
Improved,mutation_rate 70%,324.0,6.0,54.0,8689.0
Improved,mutation_rate 70%,325.0,6.0,54.166666666666664,8554.0
Improved,mutation_rate 70%,323.0,6.0,53.833333333333336,8302.0
Improved,mutation_rate 70%,332.0,6.0,55.333333333333336,8452.0
Improved,mutation_rate 70%,326.0,6.0,54.333333333333336,8810.0
Improved,mutation_rate 70%,320.0,6.0,53.333333333333336,8556.0
Improved,mutation_rate 70%,322.0,6.0,53.666666666666664,8448.0
Improved,mutation_rate 70%,330.0,6.0,55.0,8771.0
Improved,mutation_rate 70%,326.0,6.0,54.333333333333336,8691.0
Improved,mutation_rate 70%,325.0,6.0,54.166666666666664,8477.0
Improved,mutation_rate 70%,318.0,6.0,53.0,8592.0
Improved,mutation_rate 70%,322.0,6.0,53.666666666666664,8529.0
Improved,mutation_rate 70%,352.0,6.0,58.666666666666664,8857.0
Improved,mutation_rate 70%,327.0,6.0,54.5,8759.0
Improved,mutation_rate 70%,317.0,6.0,52.833333333333336,8514.0
