Algorithm Type,Changing Parameter,Time,Iterations,Time per Iteration,Value
Improved,pool_size 100%,565.0,1.0,565.0,188.0
Improved,pool_size 100%,412.0,3.0,137.33333333333334,184.0
Improved,pool_size 100%,376.0,4.0,94.0,190.0
Improved,pool_size 100%,375.0,4.0,93.75,187.0
Improved,pool_size 100%,380.0,4.0,95.0,181.0
Improved,pool_size 100%,358.0,4.0,89.5,188.0
Improved,pool_size 100%,381.0,4.0,95.25,180.0
Improved,pool_size 100%,364.0,4.0,91.0,181.0
Improved,pool_size 100%,354.0,4.0,88.5,185.0
Improved,pool_size 100%,367.0,4.0,91.75,191.0
Improved,pool_size 100%,368.0,4.0,92.0,186.0
Improved,pool_size 100%,356.0,4.0,89.0,190.0
Improved,pool_size 100%,357.0,4.0,89.25,190.0
Improved,pool_size 100%,357.0,4.0,89.25,183.0
Improved,pool_size 100%,348.0,4.0,87.0,184.0
Improved,pool_size 100%,358.0,4.0,89.5,181.0
Improved,pool_size 100%,353.0,4.0,88.25,193.0
Improved,pool_size 100%,398.0,4.0,99.5,186.0
Improved,pool_size 100%,322.0,3.0,107.33333333333333,189.0
Improved,pool_size 100%,374.0,3.0,124.66666666666667,189.0
Improved,pool_size 100%,330.0,3.0,110.0,185.0
Improved,pool_size 100%,352.0,4.0,88.0,185.0
Improved,pool_size 100%,361.0,4.0,90.25,190.0
Improved,pool_size 100%,357.0,4.0,89.25,189.0
Improved,pool_size 100%,354.0,4.0,88.5,181.0
Improved,pool_size 100%,355.0,4.0,88.75,185.0
Improved,pool_size 100%,363.0,4.0,90.75,188.0
Improved,pool_size 100%,359.0,4.0,89.75,180.0
Improved,pool_size 100%,363.0,4.0,90.75,184.0
Improved,pool_size 100%,360.0,4.0,90.0,190.0
Improved,pool_size 100%,351.0,4.0,87.75,187.0
Improved,pool_size 100%,362.0,4.0,90.5,184.0
Improved,pool_size 100%,362.0,4.0,90.5,185.0
Improved,pool_size 100%,357.0,4.0,89.25,187.0
Improved,pool_size 100%,354.0,4.0,88.5,186.0
Improved,pool_size 100%,358.0,4.0,89.5,183.0
Improved,pool_size 100%,313.0,3.0,104.33333333333333,187.0
