Algorithm Type, Changing Parameter, Time,Iterations,Time per Iteration,Value
Improved,population_size 40,160.0,1.0,160.0,8624.0
Improved,population_size 40,134.0,2.0,67.0,8046.0
Improved,population_size 40,137.0,2.0,68.5,8462.0
Improved,population_size 40,120.0,3.0,40.0,7730.0
Improved,population_size 40,140.0,4.0,35.0,8191.0
Improved,population_size 40,126.0,3.0,42.0,8346.0
Improved,population_size 40,119.0,4.0,29.75,8090.0
Improved,population_size 40,110.0,4.0,27.5,8483.0
Improved,population_size 40,104.0,4.0,26.0,8712.0
Improved,population_size 40,104.0,4.0,26.0,8585.0
Improved,population_size 40,104.0,4.0,26.0,7666.0
Improved,population_size 40,106.0,4.0,26.5,7675.0
Improved,population_size 40,122.0,5.0,24.4,8566.0
Improved,population_size 40,125.0,5.0,25.0,8229.0
Improved,population_size 40,129.0,5.0,25.8,8920.0
Improved,population_size 40,119.0,5.0,23.8,7656.0
Improved,population_size 40,103.0,4.0,25.75,8167.0
Improved,population_size 40,123.0,4.0,30.75,8529.0
Improved,population_size 40,122.0,5.0,24.4,8089.0
Improved,population_size 40,124.0,5.0,24.8,7730.0
Improved,population_size 40,122.0,5.0,24.4,7997.0
Improved,population_size 40,116.0,5.0,23.2,8297.0
Improved,population_size 40,103.0,4.0,25.75,8002.0
Improved,population_size 40,102.0,4.0,25.5,8184.0
Improved,population_size 40,121.0,5.0,24.2,8156.0
Improved,population_size 40,101.0,4.0,25.25,7738.0
Improved,population_size 40,101.0,4.0,25.25,8411.0
Improved,population_size 40,102.0,4.0,25.5,8149.0
Improved,population_size 40,121.0,5.0,24.2,8507.0
Improved,population_size 40,121.0,5.0,24.2,8265.0
Improved,population_size 40,120.0,5.0,24.0,8649.0
Improved,population_size 40,124.0,5.0,24.8,8621.0
Improved,population_size 40,118.0,5.0,23.6,7871.0
Improved,population_size 40,119.0,5.0,23.8,7876.0
Improved,population_size 40,123.0,5.0,24.6,8498.0
Improved,population_size 40,124.0,5.0,24.8,8238.0
Improved,population_size 40,118.0,5.0,23.6,8641.0
Improved,population_size 40,119.0,5.0,23.8,8432.0
Improved,population_size 40,122.0,5.0,24.4,8670.0
Improved,population_size 40,102.0,4.0,25.5,7695.0
Improved,population_size 40,121.0,5.0,24.2,8521.0
Improved,population_size 40,113.0,5.0,22.6,8443.0
Improved,population_size 40,104.0,4.0,26.0,8833.0
Improved,population_size 40,119.0,5.0,23.8,7592.0
Improved,population_size 40,121.0,5.0,24.2,7525.0
Improved,population_size 40,120.0,5.0,24.0,7739.0
Improved,population_size 40,126.0,5.0,25.2,8560.0
Improved,population_size 40,121.0,5.0,24.2,8527.0
Improved,population_size 40,113.0,5.0,22.6,8010.0
Improved,population_size 40,117.0,5.0,23.4,8118.0
Improved,population_size 40,119.0,5.0,23.8,8302.0
Improved,population_size 40,122.0,5.0,24.4,8123.0
Improved,population_size 40,113.0,5.0,22.6,8387.0
Improved,population_size 40,120.0,5.0,24.0,8590.0
Improved,population_size 40,118.0,5.0,23.6,8360.0
Improved,population_size 40,117.0,5.0,23.4,8223.0
Improved,population_size 40,115.0,5.0,23.0,8179.0
Improved,population_size 40,114.0,5.0,22.8,8278.0
Improved,population_size 40,124.0,5.0,24.8,8356.0
Improved,population_size 40,115.0,5.0,23.0,8026.0
Improved,population_size 40,118.0,5.0,23.6,8583.0
Improved,population_size 40,116.0,5.0,23.2,8333.0
Improved,population_size 40,100.0,4.0,25.0,8283.0
Improved,population_size 40,120.0,5.0,24.0,7966.0
Improved,population_size 40,117.0,5.0,23.4,7813.0
Improved,population_size 40,118.0,5.0,23.6,8136.0
Improved,population_size 40,122.0,5.0,24.4,7705.0
Improved,population_size 40,118.0,5.0,23.6,8274.0
Improved,population_size 40,121.0,5.0,24.2,8433.0
Improved,population_size 40,119.0,5.0,23.8,8442.0
Improved,population_size 40,119.0,5.0,23.8,8528.0
Improved,population_size 40,118.0,5.0,23.6,8408.0
Improved,population_size 40,116.0,5.0,23.2,8353.0
Improved,population_size 40,119.0,5.0,23.8,8464.0
Improved,population_size 40,101.0,4.0,25.25,8403.0
Improved,population_size 40,118.0,5.0,23.6,8472.0
Improved,population_size 40,118.0,5.0,23.6,8471.0
Improved,population_size 40,121.0,5.0,24.2,8636.0
Improved,population_size 40,116.0,5.0,23.2,7924.0
Improved,population_size 40,117.0,5.0,23.4,7836.0
Improved,population_size 40,125.0,5.0,25.0,8530.0
Improved,population_size 40,128.0,5.0,25.6,8522.0
Improved,population_size 40,101.0,4.0,25.25,8130.0
Improved,population_size 40,119.0,5.0,23.8,8436.0
Improved,population_size 40,119.0,5.0,23.8,8098.0
Improved,population_size 40,124.0,5.0,24.8,8017.0
Improved,population_size 40,118.0,5.0,23.6,8019.0
Improved,population_size 40,123.0,5.0,24.6,8637.0
Improved,population_size 40,118.0,5.0,23.6,8023.0
Improved,population_size 40,120.0,5.0,24.0,8611.0
Improved,population_size 40,104.0,4.0,26.0,8275.0
Improved,population_size 40,101.0,4.0,25.25,8532.0
Improved,population_size 40,123.0,5.0,24.6,8346.0
Improved,population_size 40,119.0,5.0,23.8,8489.0
Improved,population_size 40,102.0,4.0,25.5,8252.0
Improved,population_size 40,119.0,5.0,23.8,7834.0
Improved,population_size 40,122.0,5.0,24.4,7883.0
Improved,population_size 40,124.0,5.0,24.8,8264.0
Improved,population_size 40,100.0,4.0,25.0,8341.0
Improved,population_size 40,101.0,4.0,25.25,8368.0
